English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
get ready,,/ɡet ˈred.i/,[sound:getready.mp3],"chuẩn bị, sẵn sàng",We need to {{c1::get ready}} for the meeting in ten minutes.,Thực hiện các bước chuẩn bị bản thân hoặc đồ đạc cho một sự kiện sắp tới.,To prepare oneself or something for an activity or event.,"get ready for work, get ready to leave, get ready quickly","Syn: prepare, gear up | Ant: unprepare","get ready, set, go! (sẵn sàng, chuẩn bị, xuất phát!)",Động từ get (trở nên) + tính từ ready (sẵn sàng),"Informal / Neutral - Dùng hàng ngày trong giao tiếp gia đình, bạn bè."
unhealthy,"<img src=""unhealthy.jpg"">",/ʌnˈhel.θi/,[sound:unhealthy.mp3],"không lành mạnh, hại sức khỏe",Eating too much fast food is an {{c1::unhealthy}} habit.,"Miêu tả thể trạng kém sức khỏe, hoặc thói quen, đồ ăn, môi trường gây hại cho sức khỏe thể chất hoặc tinh thần.","Not in good health, or harmful to health.","unhealthy lifestyle, unhealthy diet, unhealthy relationship","Syn: harmful, detrimental, insalubrious / Ant: healthy, wholesome",as sick as a dog,Tiền tố 'un-' (không) + ngữ căn 'health' (sức khỏe) + hậu tố tính từ '-y'.,"Neutral (Sử dụng rộng rãi trong đời sống, y học và giáo dục)."
healthy,"<img src=""healthy.jpg"">",/ˈhel.θi/,[sound:healthy.mp3],"khỏe mạnh, lành mạnh",Eating fresh vegetables is key to a {{c1::healthy}} diet.,"Có sức khỏe tốt về cả thể chất lẫn tinh thần; hoặc có lợi, thúc đẩy sự khỏe mạnh.",In good health; promoting good health; physically strong and free from illness.,"healthy lifestyle, healthy diet, healthy relationship","Syn: well, fit, wholesome | Ant: unhealthy, sick, harmful",healthy as a horse (khỏe như vâm/ngựa),"Gốc danh từ 'health' (sức khỏe, từ tiếng Anh cổ 'hælth' nghĩa là trọn vẹn, lành lặn) + hậu tố tính từ '-y'.","Neutral. Thường dùng trong đời sống hàng ngày, y học và các bài viết về phong cách sống."
control,"<img src=""control.jpg"">",/kənˈtroʊl/,[sound:control.mp3],"kiểm soát, điều khiển",It is important to {{c1::control}} your emotions in public.,"Khả năng chỉ đạo, kìm hãm, điều chỉnh hoặc giới hạn hành vi của ai/cái gì theo ý muốn.","To determine the behavior or supervise the running of; to limit, regulate, or direct.","under control, take control of, lose control","Syn: command, regulate, dominate | Ant: abandon, yield","out of control (mất kiểm soát, ngoài tầm kiểm soát)","Bắt nguồn từ tiếng Pháp cổ 'contre-rolle' (bản đối chiếu chéo sổ đăng ký), gốc Latinh 'contra' (chống lại) + 'rotulus' (cuộn giấy/sổ sách).","Neutral. Dùng phổ biến từ quản lý, tâm lý học đến khoa học kỹ thuật."
basic,"<img src=""basic.jpg"">",/ˈbeɪ.sɪk/,[sound:basic.mp3],"cơ bản, chủ yếu",Food and shelter are {{c1::basic}} human needs.,"Thuộc về nền tảng, gốc rễ; đơn giản nhất và là yếu tố cần thiết không thể thiếu.",Forming an essential foundation or starting point; fundamental and simplest.,"basic skills, basic needs, basic principles","Syn: fundamental, essential, primary | Ant: advanced, secondary",back to basics (quay lại với những giá trị cốt lõi),"Gốc danh từ 'base' (nền móng, nền tảng) + hậu tố tính từ '-ic' (thuộc về).","Neutral. Sử dụng rộng rãi trong học thuật, đời sống và khoa học kỹ thuật."
fundamental,"<img src=""fundamental.jpg"">",/ˌfʌn.dəˈmen.təl/,[sound:fundamental.mp3],"cơ bản, cốt lõi",Freedom of speech is a {{c1::fundamental}} human right.,"Đóng vai trò là nền tảng, gốc rễ hoặc phần quan trọng nhất của cái gì.",Forming a necessary base or core; of central importance.,"fundamental change, fundamental principle, fundamental difference","Syn: basic, essential | Ant: secondary, superficial",fundamental cause (nguyên nhân gốc rễ),Danh từ fund (nền móng) -> fundament + hậu tố tính từ -al,"Formal / Academic - Thường dùng trong báo cáo, triết học, khoa học."
advanced,"<img src=""advanced.jpg"">",/ədˈvɑːnst/,[sound:advanced.mp3],"tiên tiến, nâng cao",This course is designed for {{c1::advanced}} learners of English.,"Ở trình độ cao, hiện đại hoặc phức tạp hơn bình thường.",At a high level of development or training.,"advanced technology, advanced level, advanced degree","Syn: sophisticated, progressive; Ant: basic, primitive",of advanced age,advance (tiến lên) + -ed (tính từ),"Neutral / Academic - Dùng nhiều trong giáo dục, công nghệ, nghiên cứu."
complex,"<img src=""complex.jpg"">",/ˈkɒm.pleks/,[sound:complex.mp3],phức tạp; khu phức hợp,The problem is much more {{c1::complex}} than we thought.,"Gồm nhiều chi tiết liên kết với nhau, khó hiểu hoặc giải quyết.",Consisting of many different and connected parts; complicated.,"complex issue, complex system, industrial complex","Syn: complicated, intricate; Ant: simple, straightforward",inferiority complex,"com- (cùng nhau) + plex (bện, gấp lại)","Neutral / Academic - Dùng nhiều trong kĩ thuật, phân tích, đời sống."
part-time,"<img src=""part-time.jpg"">",/ˌpɑːrtˈtaɪm/,[sound:part-time.mp3],bán thời gian,He found a {{c1::part-time}} job as a waiter to pay for college.,"Chỉ công việc, khóa học hoặc hoạt động chỉ chiếm một số giờ nhất định trong tuần, ít hơn chuẩn toàn thời gian.",For only some of the hours of the week that people normally work or study.,"part-time job, part-time work, part-time student","Syn: fractional, temporary | Ant: full-time",none,Từ ghép bởi 'part' (một phần) và 'time' (thời gian).,"Neutral. Thường dùng trong lĩnh vực lao động, nhân sự và giáo dục đại học."
rent,"<img src=""rent.jpg"">",/rent/,[sound:rent.mp3],"thuê, tiền thuê",They decided to {{c1::rent}} an apartment near the city center.,"Trả một khoản tiền định kỳ để sử dụng tài sản (nhà, xe, đất đai) của người khác; hoặc chính khoản tiền đó.",A regular payment made to a landlord for the use of property or land; to pay for the use of something.,"pay rent, rent an apartment, for rent","Syn: lease, hire, charter | Ant: sell, buy",rent out (cho thuê),"Bắt nguồn từ tiếng Pháp cổ 'rente' (khoản thanh toán định kỳ), xuất phát từ tiếng Latinh 'rendere' (trả lại).",Neutral. Thường gặp trong đời sống sinh hoạt hàng ngày và lĩnh vực bất động sản.
lease,"<img src=""lease.jpg"">",/liːs/,[sound:lease.mp3],hợp đồng cho thuê; thuê,They signed a two-year {{c1::lease}} for the apartment.,Thỏa thuận pháp lý cho phép dùng tài sản trong thời hạn có trả tiền.,A legal agreement to use property for a period of time in return for payment.,"sign a lease, expire a lease, lease agreement","Syn: rent, charter; Ant: sell, purchase",a new lease of life,"Gốc Pháp cổ: laisser (cho phép, nhượng lại)","Formal / Legal / Business - Thường dùng trong luật pháp, bất động sản."
hire,"<img src=""hire.jpg"">",/haɪər/,[sound:hire.mp3],thuê (người/đồ vật ngắn hạn),The company plans to {{c1::hire}} three new software developers.,"Tuyển dụng nhân sự làm việc trả lương, hoặc trả tiền để dùng tạm thời dịch vụ/đồ vật.",To employ someone or pay to use something for a short period.,"hire staff, hire a car, hire equipment","Syn: employ, recruit, rent / Ant: fire, dismiss",gun for hire,"Gốc Cổ Anh 'hyrian' (thuê, trả công).",Neutral (Dùng phổ biến trong quản trị nhân sự và đời sống thường ngày).
confidence,"<img src=""confidence.jpg"">",/ˈkɑːn.fə.dəns/,[sound:confidence.mp3],"sự tự tin, sự tin tưởng",Public speaking helped boost her {{c1::confidence}}.,"Cảm giác tin tưởng mạnh mẽ vào khả năng, phẩm chất hoặc phán đoán của chính mình hoặc của người khác.",The feeling or belief that one can rely on someone or something; self-assurance.,"boost confidence, gain confidence, lack of confidence","Syn: self-assurance, trust, belief | Ant: doubt, insecurity, diffidence","take someone into one's confidence (tiết lộ bí mật, tâm sự chuyện riêng tư với ai)","Tiền tố 'con-' (nhấn mạnh, cùng nhau) + gốc Latinh 'fidere' (tin tưởng) + hậu tố danh từ '-ence' chỉ trạng thái.","Neutral. Thường dùng trong mô tả tâm lý cá nhân, giáo dục và phát triển bản thân."
balance,"<img src=""balance.jpg"">",/ˈbæl.əns/,[sound:balance.mp3],"sự cân bằng, giữ cân bằng",It can be difficult to {{c1::balance}} work and family life.,Trạng thái các yếu tố khác nhau có tỷ lệ hoặc trọng lượng hợp lý; hoặc hành động duy trì sự thăng bằng đó.,An even distribution of weight enabling someone or something to remain upright and steady; a state of equilibrium.,"work-life balance, strike a balance, lose balance","Syn: equilibrium, stability, proportion | Ant: imbalance, instability","hang in the balance (ở trạng thái bấp bênh, chưa ngã ngũ)","Bắt nguồn từ tiếng Latin 'bilanx' (cái cân hai đĩa), từ 'bi-' (hai) + 'lanx' (đĩa cân).","Neutral. Được dùng trong mọi khía cạnh từ thể chất, lối sống, tài chính đến khoa học."
equilibrium,"<img src=""equilibrium.jpg"">",/ˌiː.kwɪˈlɪb.ri.əm/,[sound:equilibrium.mp3],trạng thái cân bằng,Yoga helps me maintain my emotional {{c1::equilibrium}} during stressful times.,"Trạng thái cân bằng giữa các lực, cảm xúc hoặc yếu tố đối lập.",A state in which opposing forces or influences are balanced.,"emotional equilibrium, market equilibrium, maintain equilibrium","Syn: balance, stability | Ant: imbalance, instability",throw off equilibrium (làm mất cân bằng),"Căn từ aequus (bằng nhau) + libra (cái cân, sự cân bằng)","Formal / Academic - Thường dùng trong khoa học, kinh tế, tâm lý học."
imbalance,"<img src=""imbalance.jpg"">",/ɪmˈbæl.əns/,[sound:imbalance.mp3],sự mất cân bằng,There is a clear {{c1::imbalance}} between supply and demand in the housing market.,"Tình trạng không bằng nhau, thiếu sự cân đối giữa các yếu tố hoặc lực lượng.",A state or condition in which different things do not occur in equal or proper amounts.,"trade imbalance, hormonal imbalance, address an imbalance","Syn: inequality, disproportion; Ant: balance, equilibrium",redress the balance,im- (tiền tố phủ định) + balance (sự cân bằng),"Formal / Academic - Thường sử dụng trong kinh tế, y học và phân tích xã hội."
life skill,,/ˈlaɪf ˌskɪl/,[sound:lifeskill.mp3],kỹ năng sống,Cooking is an essential {{c1::life skill}} that everyone should learn.,Những kỹ năng thực tế cần thiết giúp cá nhân đối phó hiệu quả với các yêu cầu và thách thức của cuộc sống hàng ngày.,A skill that is necessary or desirable for full participation in everyday life.,"essential life skills, teach life skills, practical life skill","Syn: survival skill, coping skill | Ant: none",none,"Từ ghép bởi 'life' (cuộc sống) và 'skill' (kỹ năng, năng lực đạt được qua học tập/rèn luyện).",Neutral. Thường được sử dụng trong lĩnh vực giáo dục phổ thông và phát triển thanh thiếu niên.
budget,"<img src=""budget.jpg"">",/ˈbʌdʒ.ɪt/,[sound:budget.mp3],"ngân sách, lập ngân sách",We need to plan a strict {{c1::budget}} for our holiday.,Một ước tính hoặc kế hoạch chi tiêu số tiền có sẵn trong một khoảng thời gian nhất định.,An estimate of income and expenditure for a set period of time.,"on a tight budget, budget deficit, plan a budget","Syn: financial plan, allowance, funds | Ant: none",budget for (dành/dự trù ngân sách cho việc gì),"Bắt nguồn từ tiếng Pháp cổ 'bougette' (túi da nhỏ đựng tiền), có nguồn gốc từ tiếng Gaulish.",Neutral. Dùng phổ biến từ quản lý tài chính cá nhân cho đến báo cáo tài chính quốc gia.
save,"<img src=""save.jpg"">",/seɪv/,[sound:save.mp3],"tiết kiệm, cứu, lưu trữ",She is trying to {{c1::save}} money to buy a new car.,Giữ lại tiền/tài nguyên để dùng trong tương lai; tránh lãng phí; giải thoát ai đó khỏi nguy hiểm; lưu dữ liệu máy tính.,To keep safe or rescue from harm or danger; to store up money or resources for future use.,"save money, save time, save life","Syn: rescue, preserve, hoard, economize | Ant: spend, waste, endanger","save for a rainy day (tiết kiệm phòng lúc khó khăn, hoạn nạn)","Bắt nguồn từ tiếng Latinh 'salvare' (làm cho an toàn), xuất phát từ 'salvus' (an toàn, lành lặn).",Neutral. Từ vựng cơ bản có tần suất sử dụng rất cao trong mọi tình huống.
put aside,,/pʊt əˈsaɪd/,[sound:putaside.mp3],"gạt sang một bên, tiết kiệm",We should {{c1::put aside}} our differences and work together.,"Tạm thời không chú ý đến điều gì đó, hoặc dành riêng tiền/thời gian cho tương lai.",To save something or to ignore something temporarily.,"put aside money, put aside differences, put aside time","Syn: save, set aside, disregard; Ant: spend, focus on",put aside for a rainy day,Cụm động từ: put (đặt) + aside (sang một bên),Neutral / Informal - Dùng thông dụng trong giao tiếp hàng ngày.
spend,"<img src=""spend.jpg"">",/spend/,[sound:spend.mp3],"dành (thời gian), chi (tiền)",I usually {{c1::spend}} my weekends with my family.,Sử dụng tiền bạc để mua sắm hoặc dùng thời gian vào việc gì đó.,To pay out money or use time for a particular purpose.,"spend time doing sth, spend money on sth, spend wisely","Syn: expend, disburse; Ant: save, hoard",spend a fortune,"Gốc tiếng Anh cổ: spendan (tiêu tốn, phân chia)","Neutral - Từ cơ bản, rất thông dụng."
waste,"<img src=""waste.jpg"">",/weɪst/,[sound:waste.mp3],lãng phí; rác thải,Leaving the tap running is a terrible {{c1::waste}} of water.,Sử dụng không hiệu quả nguồn lực; hoặc những vật chất bỏ đi.,"An unnecessary or careless use of money, time, energy, etc.","waste of time, household waste, waste resources","Syn: squander, garbage, trash; Ant: save, conserve","go to waste, waste not want not","Gốc Latin: vastus (trống rỗng, bỏ hoang)",Neutral - Rất thông dụng.
overwhelmed,"<img src=""overwhelmed.jpg"">",/ˌoʊ.vɚˈwelmd/,[sound:overwhelmed.mp3],"bị quá tải, ngợp, tràn ngập cảm xúc",He felt {{c1::overwhelmed}} by the sheer volume of homework.,"Bị lấn át, quá tải do có quá nhiều công việc, áp lực hoặc cảm xúc mãnh liệt tác động đến mức không xử lý kịp.","Defeated or completely overcome by an excessive amount of something (like work, pressure, or emotion).","feel overwhelmed, overwhelmed by/with emotion, overwhelmed with work","Syn: overloaded, swamped, overcome | Ant: calm, indifferent",none,"Tiền tố 'over-' (quá mức) + gốc tiếng Anh Trung cổ 'whelmen' (lật úp, úp lên, bao phủ lấy).",Neutral. Thường dùng khi bộc bạch tâm sự cá nhân hoặc mô tả tình trạng căng thẳng do công việc học tập.
independently,"<img src=""independently.jpg"">",/ˌɪn.dɪˈpen.dənt.li/,[sound:independently.mp3],"một cách độc lập, tự lập",Students are encouraged to work {{c1::independently}}.,"Thực hiện một hành động tự thân, tự lực, không dựa dẫm hay chịu sự chỉ đạo, giúp đỡ của người khác.",In a way that is free from outside control or influence; without depending on others.,"work independently, live independently, act independently","Syn: autonomously, freely, separately | Ant: dependently",none,Gốc tính từ 'independent' (độc lập) + hậu tố trạng từ '-ly' (một cách).,"Neutral. Thường dùng trong đánh giá năng lực học tập, làm việc hoặc nghiên cứu khoa học."
autonomously,"<img src=""autonomously.jpg"">",/ɔːˈtɒn.ə.məs.li/,[sound:autonomously.mp3],"một cách tự chủ, độc lập",Advanced AI systems can now perform complex tasks {{c1::autonomously}}.,"Thực hiện hành động một cách độc lập, có thể tự ra quyết định mà không chịu kiểm soát bên ngoài.",In a way that is independent and has the power to make separate decisions.,"operate autonomously, act autonomously, work autonomously","Syn: independently, freely, self-governingly | Ant: dependently, submissively",N/A,Tiền tố Hy Lạp 'auto-' (tự bản thân) + 'nomos' (luật lệ) + hậu tố tính từ '-ous' + hậu tố trạng từ '-ly'.,"Formal/Academic - Sử dụng thường xuyên trong công nghệ, quản trị và khoa học."
dependently,"<img src=""dependently.jpg"">",/dɪˈpen.dənt.li/,[sound:dependently.mp3],một cách phụ thuộc,The young animal relied {{c1::dependently}} on its mother for survival during winter.,Hành động theo cách phụ thuộc hoặc dựa dẫm vào ai/cái gì khác để hoạt động hay tồn tại.,In a way that relies on someone or something else for support or survival.,"live dependently, rely dependently, act dependently","Syn: helplessly, conditionally | Ant: independently, autonomously",N/A,"Tiền tố 'de-' (dưới, xuống) + gốc La-tinh 'pendere' (treo) -> 'treo vào cái khác' + '-ent' + '-ly'.","Neutral/Academic - Thường xuất hiện trong mô tả sinh học, tâm lý hoặc quan hệ xã hội."
schedule,"<img src=""schedule.jpg"">",/ˈʃedjuːl/ or /ˈskedʒuːl/,[sound:schedule.mp3],"lịch trình, thời gian biểu",I need to check my {{c1::schedule}} before booking the flight.,"Bản liệt kê các công việc cần làm, các sự kiện xảy ra kèm theo mốc thời gian chi tiết; hoặc hành động lên lịch trình.","A plan for carrying out a process or procedure, giving a list of intended events and times.","busy schedule, tight schedule, ahead of schedule","Syn: timetable, agenda | Ant: none","on schedule, behind schedule",Nguồn gốc từ tiếng Pháp cổ 'cedule' (mảnh giấy nhỏ ghi chép).,"Neutral - Sử dụng phổ biến trong đời sống hàng ngày, học tập và công việc hành chính."
lifestyle,"<img src=""lifestyle.jpg"">",/ˈlaɪfstaɪl/,[sound:lifestyle.mp3],"lối sống, phong cách sống",Regular exercise is part of a healthy {{c1::lifestyle}}.,"Cách thức sống, làm việc, sinh hoạt và tư duy của một cá nhân hay một nhóm người.",The way in which a person or group lives.,"healthy lifestyle, active lifestyle, alternative lifestyle","Syn: way of life, conduct | Ant: none",lifestyle change,"Ghép từ 'life' (đời sống, cuộc sống) và 'style' (phong cách, kiểu cách).","Neutral - Sử dụng tự nhiên trong cả giao tiếp hàng ngày, y khoa và tâm lý xã hội."
visible,"<img src=""visible.jpg"">",/ˈvɪzəbl/,[sound:visible.mp3],"có thể nhìn thấy, rõ ràng",The stars were clearly {{c1::visible}} in the night sky.,"Có thể quan sát thấy được bằng mắt thường hoặc rõ ràng, dễ dàng nhận biết.",Able to be seen.,"highly visible, clearly visible, visible progress","Syn: noticeable, apparent | Ant: invisible, hidden",visible to the naked eye,"Gốc 'vis-' (nhìn, xem) kết hợp với hậu tố '-ible' (có thể).","Neutral/Academic - Thích hợp trong mô tả thực tế lẫn văn viết khoa học, phân tích số liệu."
obvious,"<img src=""obvious.jpg"">",/ˈɒb.vi.əs/,[sound:obvious.mp3],"rõ ràng, hiển nhiên",It was {{c1::obvious}} that she was not telling the truth.,"Dễ dàng nhìn thấy, nhận ra hoặc hiểu được mà không cần giải thích.","Easily perceived or understood; clear, self-evident, or apparent.","obvious choice, obvious reason, state the obvious","Syn: clear, evident | Ant: subtle, hidden",staring you in the face (rõ rành rành ngay trước mắt),Tiền tố ob- (trước mặt) + căn từ via (con đường),Neutral - Phổ biến trong nói và viết.
invisible,"<img src=""invisible.jpg"">",/ɪnˈvɪz.ə.bəl/,[sound:invisible.mp3],"vô hình, không nhìn thấy được",Bacteria are {{c1::invisible}} to the naked eye.,Không thể nhìn thấy được bằng mắt thường hoặc ẩn giấu khỏi tầm nhìn.,Impossible to see; not visible.,"invisible to the naked eye, invisible hand, invisible threat","Syn: unseen, imperceptible; Ant: visible, noticeable",invisible barrier,in- (không) + vis (gốc: nhìn) + -ible (có thể),Neutral - Sử dụng rộng rãi trong mọi ngữ cảnh đời sống và khoa học.
appointment,"<img src=""appointment.jpg"">",/əˈpɔɪntmənt/,[sound:appointment.mp3],cuộc hẹn (trang trọng),I have a dentist {{c1::appointment}} at 3 PM today.,Sự sắp xếp chính thức để gặp ai đó hoặc làm gì đó vào một thời gian và địa điểm cụ thể.,An arrangement to meet someone at a particular time and place.,"make an appointment, keep an appointment, doctor's appointment","Syn: meeting, engagement | Ant: cancellation",by appointment only,"Động từ 'appoint' (chỉ định, bổ nhiệm) kết hợp với hậu tố danh từ '-ment'.","Neutral/Formal - Dùng trong bối cảnh công việc, y tế, hoặc các cuộc gặp gỡ chuyên nghiệp."
tackle,"<img src=""tackle.jpg"">",/ˈtækl/,[sound:tackle.mp3],"giải quyết, đối phó",The government is determined to {{c1::tackle}} inflation.,"Nỗ lực, quyết tâm bắt đầu giải quyết một vấn đề, nhiệm vụ hay thử thách khó khăn.",Make determined efforts to deal with a problem or difficult task.,"tackle a problem, tackle a challenge, tackle an issue","Syn: address, handle, solve | Ant: avoid, ignore",tackle head-on,"Xuất phát từ tiếng Middle Low German 'tackel' (dụng cụ, thiết bị tàu thuyền), sau phát triển nghĩa bóng là nắm bắt, xử lý.","Neutral/Formal - Thường dùng nhiều trong quản lý, kinh doanh, chính trị và cuộc sống khi nói về việc xử lý khó khăn."
address,"<img src=""address.jpg"">",/əˈdres/,[sound:address.mp3],"giải quyết, xử lý (vấn đề)",The government needs to {{c1::address}} the issue of unemployment.,Tập trung sự chú ý và nỗ lực để giải quyết một vấn đề khó khăn.,To think about and begin to deal with an issue or problem.,"address an issue, address a problem, address the audience","Syn: tackle, deal with, handle; Ant: ignore, overlook",address yourself to sth,"ad- (hướng tới) + drictus (trực tiếp, thẳng)","Formal / Academic - Rất phổ biến trong môi trường làm việc, diễn văn, báo chí."
confront,"<img src=""confront.jpg"">",/kənˈfrʌnt/,[sound:confront.mp3],"đối mặt, đương đầu",She decided to {{c1::confront}} her fears and speak in public.,"Đối diện trực tiếp với khó khăn, nguy hiểm hoặc ai đó để giải quyết.",To face up to and deal with a problem or difficult situation.,"confront a challenge, confront sb about sth, be confronted with","Syn: face, tackle, encounter; Ant: avoid, evade",confront reality,"con- (cùng) + front (mặt, trán)","Neutral / Formal - Thường dùng khi nói về thử thách, tâm lý hoặc xung đột."
little by little,"<img src=""little.jpg"">",/ˈlɪtl baɪ ˈlɪtl/,[sound:little.mp3],"dần dần, từng chút một","{{c1::Little by little}}, her English improved through daily practice.","Thay đổi hoặc tiến triển một cách chậm rãi, từng bước nhỏ một.",Gradually; by small degrees or steps.,"improve little by little, learn little by little","Syn: gradually, step by step | Ant: suddenly, instantly",day by day,Cụm lặp từ 'little' (ít) kết hợp giới từ 'by' biểu thị sự tiếp diễn chậm rãi.,"Neutral/Informal - Mang sắc thái tự nhiên, gần gũi, dùng nhiều trong đời sống và văn kể chuyện."
gradually,"<img src=""gradually.jpg"">",/ˈɡrædʒ.u.ə.li/,[sound:gradually.mp3],"một cách từ từ, dần dần",The weather {{c1::gradually}} improved throughout the week.,"Diễn ra một cách chậm rãi, từng bước một qua thời gian.","Slowly, over a period of time or in small steps.","gradually increase, gradually change, gradually disappear","Syn: slowly, progressively, bit by bit; Ant: suddenly, abruptly",little by little,gradus (bước đi) + -ual + -ly (hậu tố trạng từ),Neutral - Sử dụng tự nhiên trong cả giao tiếp lẫn văn viết.
step by step,,/step baɪ step/,[sound:stepbystep.mp3],"từng bước một, theo quy trình",Follow this {{c1::step by step}} manual to assemble your computer.,"Tiến hành một công việc cẩn thận theo từng giai đoạn, từng công đoạn có thứ tự rõ ràng.",Moving gradually from one stage to the next in a clear sequence.,"step by step guide, step by step process, learn step by step","Syn: incrementally, systematically / Ant: all at once, abruptly",one step at a time,Lặp danh từ 'step' (bước) thông qua giới từ kết nối 'by'.,Neutral / Informal (Phổ biến trong sách hướng dẫn và đời sống).
quickly,"<img src=""quickly.jpg"">",/ˈkwɪk.li/,[sound:quickly.mp3],nhanh chóng,He answered the urgent email {{c1::quickly}} before stepping into the meeting room.,Thực hiện một việc trong thời gian ngắn hoặc với tốc độ cao.,At a fast speed or within a short period of time.,"respond quickly, adapt quickly, act quickly","Syn: rapidly, swiftly, fast | Ant: slowly, sluggishly",double-quick (rất nhanh chóng),Tính từ 'quick' (nhanh) + hậu tố trạng từ '-ly'.,"Neutral - Từ vựng căn bản, dùng phổ biến trong mọi hoàn cảnh giao tiếp."
suddenly,"<img src=""suddenly.jpg"">",/ˈsʌd.ən.li/,[sound:suddenly.mp3],"đột nhiên, bất ngờ","The lights {{c1::suddenly}} went out, leaving the room in darkness.","Xảy ra một cách vô cùng bất ngờ, tức thì, không dự báo trước.",Quickly and unexpectedly.,"suddenly realize, suddenly change, suddenly appear","Syn: abruptly, unexpectedly, out of the blue / Ant: gradually, predictably",out of the blue,Tính từ 'sudden' (gốc Latin 'subitaneus' - bất ngờ) + hậu tố trạng từ '-ly'.,Neutral (Sử dụng phổ biến trong kể chuyện và văn viết).
discipline,"<img src=""discipline.jpg"">",/ˈdɪsəplɪn/,[sound:discipline.mp3],kỷ luật,She showed great {{c1::discipline}} by practicing the piano every day.,"Sự rèn luyện bản thân tuân theo các quy định, nề nếp nhằm đạt hiệu quả cao hoặc hành động phạt răn đe.","The practice of training people to obey rules or a code of behavior, or self-control.","strict discipline, self-discipline, maintain discipline","Syn: order, self-control, training | Ant: chaos, rebellion",impose discipline,"Gốc Latin 'disciplina' (sự dạy dỗ, kiến thức), liên quan chặt chẽ tới từ 'disciple' (môn đồ, học trò).","Neutral/Formal - Thường dùng trong giáo dục, quân sự và phát triển bản thân."
frustration,"<img src=""frustration.jpg"">",/frʌˈstreɪʃn/,[sound:frustration.mp3],"sự nản lòng, sự thất vọng",He wept with {{c1::frustration}} when he failed the exam again.,"Cảm giác khó chịu, bực bội hoặc nản lòng sinh ra khi không thể đạt được điều mình mong muốn hoặc khi gặp trở ngại.",The feeling of being upset or annoyed as a result of being unable to change or achieve something.,"express frustration, vent frustration, deep frustration","Syn: disappointment, annoyance, vexation | Ant: satisfaction, gratification",cry with frustration,"Động từ 'frustrate' (làm thất bại, làm hỏng) kết hợp hậu tố chỉ trạng thái '-ation'.",Neutral - Mô tả trạng thái cảm xúc tâm lý rất phổ biến trong cả nói và viết học thuật.
disappointment,"<img src=""disappointment.jpg"">",/ˌdɪs.əˈpɔɪnt.mənt/,[sound:disappointment.mp3],sự thất vọng,He could not hide his {{c1::disappointment}} when his application was rejected.,"Cảm giác buồn chán, hụt hẫng khi kết quả không đạt như mong đợi hoặc niềm tin bị sụp đổ.",The feeling of sadness or dissatisfaction caused by the failure of hopes or expectations.,"bitter disappointment, express disappointment, deep disappointment","Syn: letdown, dissatisfaction / Ant: satisfaction, delight, triumph",down in the dumps,Tiền tố 'dis-' (đảo ngược) + 'appoint' (bổ nhiệm/hứa) + hậu tố danh từ '-ment'.,Neutral (Miêu tả trạng thái tâm lý cảm xúc).
annoyance,"<img src=""annoyance.jpg"">",/əˈnɔɪ.əns/,[sound:annoyance.mp3],"sự phiền toái, bực mình",The constant noise from next door was a major source of {{c1::annoyance}}.,Cảm giác bực bội nhẹ hoặc thứ gây khó chịu cho người khác.,The feeling of being annoyed; irritation or something that causes it.,"source of annoyance, express annoyance, minor annoyance","Syn: irritation, nuisance | Ant: pleasure, delight",much to one's annoyance (làm ai đó rất bực mình),Động từ annoy (làm phiền) + hậu tố danh từ -ance,Neutral - Thích hợp diễn tả trạng thái bức bối vừa phải.
contentment,"<img src=""contentment.jpg"">",/kənˈtent.mənt/,[sound:contentment.mp3],"sự hài lòng, sự mãn nguyện",Living a quiet life in the countryside brought him deep {{c1::contentment}}.,"Trạng thái tâm hồn hạnh phúc, an yên và thỏat khỏi những ham muốn ganh đua.",A state of happiness and satisfaction with what one has.,"deep contentment, feel contentment, a sense of contentment","Syn: satisfaction, fulfillment / Ant: discontent, dissatisfaction",on cloud nine,"Tính từ 'content' (bình yên, thỏa mãn) + hậu tố danh từ '-ment'.","Formal / Literary (Thường xuất hiện trong văn học, triết học cuộc sống)."
satisfaction,"<img src=""satisfaction.jpg"">",/ˌsæt.ɪsˈfæk.ʃən/,[sound:satisfaction.mp3],"sự hài lòng, sự thỏa mãn",Customer {{c1::satisfaction}} is our top priority.,"Cảm giác dễ chịu, toại nguyện khi nhu cầu hoặc mong muốn được đáp ứng.",A pleasant feeling which you get when you have achieved something or got what you wanted.,"customer satisfaction, job satisfaction, derive satisfaction from","Syn: contentment, fulfillment; Ant: dissatisfaction, discontent",to one's satisfaction,satisfy (thỏa mãn) + -action (hậu tố danh từ),"Neutral / Business - Phổ biến trong công việc, giao dịch và đời sống."
