English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
division,"<img src=""division.jpg"">",/dɪˈvɪʒən/,[sound:division.mp3],"sự phân chia, sự chia rẽ",The fair {{c1::division}} of labor is essential for a happy household.,Hành động chia nhỏ một thứ thành nhiều phần; hoặc tình trạng bất đồng ý kiến sâu sắc gây ra sự chia rẽ phe phái.,"The act of separating something into parts, or a disagreement that separates people.","division of labor, deep division, division of opinion","Syn: separation, split, distribution | Ant: unification, union, merger",N/A,"Root 'divide' (chia sẻ) + Suffix '-ion' (hành động, trạng thái kết quả).","Neutral (Trung tính) - Sử dụng rộng rãi từ toán học, quản trị doanh nghiệp cho đến xã hội học."
domestic,"<img src=""domestic.jpg"">",/dəˈmestɪk/,[sound:domestic.mp3],trong nước; thuộc về gia đình,They share all the {{c1::domestic}} chores equally.,"Liên quan đến các công việc nội bộ của một quốc gia; hoặc liên quan đến gia đình, tổ ấm và công việc nội trợ.","Relating to a person's own country, or relating to a person's home and family.","domestic chores, domestic violence, domestic flights","Syn: household, internal, national | Ant: foreign, international",domestic bliss (hạnh phúc gia đình ngọt ngào),Latin root 'domus' (ngôi nhà) + Suffix '-ic' (thuộc về).,Neutral/Formal (Trung tính/Trang trọng) - Sắc thái nghĩa thay đổi rõ rệt phụ thuộc vào danh từ đi kèm là 'quốc gia' hay 'gia đình'.
duty,"<img src=""duty.jpg"">",/ˈdjuːti/,[sound:duty.mp3],"nghĩa vụ, nhiệm vụ",It is our {{c1::duty}} to protect the environment.,"Trách nhiệm bắt buộc phải thực hiện vì lý do đạo đức, pháp lý, công việc hoặc tình cảm gia đình.",A moral or legal obligation; a responsibility.,"moral duty, civic duty, on duty, off duty","Syn: obligation, responsibility, task | Ant: privilege, right","do one's duty (thực hiện nghĩa vụ), call of duty (tiếng gọi nghĩa vụ)","Root 'due' (nợ, phải trả) + Suffix '-ty' (chỉ trạng thái, phẩm chất).","Formal (Trang trọng) - Mang sắc thái nghiêm túc khi nói về trách nhiệm công dân, nghề nghiệp chính thức."
exceptionally,,/ɪkˈsepʃənəli/,[sound:exceptionally.mp3],"một cách xuất chúng, đặc biệt",The child is {{c1::exceptionally}} talented at playing the piano.,"Ở mức độ cao vượt trội, khác biệt hoàn toàn với những trường hợp thông thường hoặc đạt mức xuất sắc lạ thường.","In a way that is much greater, better, or more unusual than normal.","exceptionally talented, exceptionally gifted, exceptionally well","Syn: extraordinarily, outstandingly, uncommonly | Ant: normally, averagely, typically",N/A,"Prefix 'ex-' (ra ngoài) + Root 'cept' (bắt lấy) + Suffixes '-ion', '-al', '-ly' (vượt ngoài những gì được áp đặt chung).",Neutral/Formal (Trung tính/Trang trọng) - Dùng để nâng cao mức độ khen ngợi một cách lịch thiệp.
expectation,"<img src=""expectation.jpg"">",/ˌekspekˈteɪʃən/,[sound:expectation.mp3],"sự kỳ vọng, mong đợi",Parents often have high {{c1::expectations}} for their children.,Niềm tin hoặc hy vọng mạnh mẽ rằng điều gì đó sẽ diễn ra hoặc một người nào đó sẽ đạt được một kết quả tốt.,A strong belief that something will happen or that someone will achieve something.,"high expectations, meet expectations, live up to expectations","Syn: hope, anticipation, prospect | Ant: despair, hopelessness",against all expectations (vượt ngoài mọi dự đoán),"Prefix 'ex-' (ra ngoài) + Root 'spect' (nhìn, trông ngóng) + Suffix '-ation' (trạng thái, hành động).","Neutral (Trung tính) - Được sử dụng vô cùng phổ biến trong cả môi trường công việc, học tập lẫn gia đình."
foundation,"<img src=""foundation.jpg"">",/faʊnˈdeɪʃən/,[sound:foundation.mp3],"nền tảng, nền móng",Trust is the {{c1::foundation}} of any healthy relationship.,"Phần cơ sở cốt lõi, vững chắc làm bệ đỡ cho một cấu trúc xây dựng, hoặc một mối quan hệ, một lý thuyết phát triển.","The base, principle, or factual support on which something is built or stands.","solid foundation, lay the foundation, charitable foundation","Syn: basis, cornerstone, bedrock | Ant: superstructure, top",N/A,"Root 'found' (thiết lập, sáng lập) + Suffix '-ation' (quá trình hình thành, danh từ kết quả).","Neutral/Formal (Trung tính/Trang trọng) - Có thể dùng cả với nghĩa đen (xây dựng) lẫn nghĩa bóng (tình cảm, kiến thức)."
gap,"<img src=""gap.jpg"">",/ɡæp/,[sound:gap.mp3],"khoảng cách, lỗ hổng",We need to bridge the generation {{c1::gap}} in our family.,"Một khoảng trống hữu hình giữa hai vật; hoặc sự khác biệt lớn về tư tưởng, tuổi tác, lối sống giữa các thế hệ, giai cấp xã hội.","An empty space between two things, or a major difference between two situations, groups, or ideas.","generation gap, credibility gap, fill the gap","Syn: divide, space, chasm | Ant: closure, connection",mind the gap (chú ý khoảng cách - khẩu hiệu quen thuộc tại tàu điện ngầm Anh),"Bắt nguồn từ tiếng Norse cổ 'gap' (vực sâu, khoảng hở).",Neutral (Trung tính) - Phổ biến trong văn nói về khoảng cách thế hệ 'generation gap' và phân tích học thuật.
gratitude,"<img src=""gratitude.jpg"">",/ˈɡrætɪtjuːd/,[sound:gratitude.mp3],lòng biết ơn,He expressed his deep {{c1::gratitude}} for their help.,"Cảm giác cảm kích, trân trọng và biết ơn sâu sắc đối với sự tử tế hoặc sự giúp đỡ của một ai đó dành cho mình.",The feeling of being thankful and appreciative.,"express gratitude, show gratitude, deep gratitude","Syn: thankfulness, appreciation | Ant: ingratitude, unthankfulness",N/A,"Latin root 'gratus' (biết ơn, hài lòng) + Suffix '-itude' (chỉ trạng thái, tính chất tinh thần).","Formal/Neutral (Trang trọng/Trung tính) - Mang lại sắc thái chân thành, lịch sự và sâu sắc trong giao tiếp."
harmony,"<img src=""harmony.jpg"">",/ˈhɑːməni/,[sound:harmony.mp3],"sự hòa hợp, sự hài hòa",The family lived together in perfect {{c1::harmony}}.,"Tình trạng đồng thuận, yên bình, chung sống vui vẻ cùng nhau mà không có mâu thuẫn hay xung đột.","A state of agreement, peacefulness, or pleasing combination of elements.","live in harmony, perfect harmony, racial harmony","Syn: peace, accord, agreement | Ant: discord, conflict, clash","in harmony with (hòa hợp với, hài hòa với)","Bắt nguồn từ tiếng Hy Lạp cổ 'harmonia' (sự liên kết các bộ phận, hòa âm).","Neutral/Formal (Trung tính/Trang trọng) - Sử dụng trong đời sống gia đình, xã hội hoặc lý thuyết âm nhạc nghệ thuật."
homemaker,"<img src=""homemaker.jpg"">",/ˈhəʊmmeɪkər/,[sound:homemaker.mp3],người nội trợ,She chose to be a full-time {{c1::homemaker}} to raise her children.,"Người chịu trách nhiệm chính trong việc quản lý ngôi nhà, dọn dẹp, nấu nướng và chăm sóc con cái (thường không đi làm kiếm tiền bên ngoài).","A person, especially a housewife, who manages a home and takes care of the house.","full-time homemaker, professional homemaker","Syn: housewife, househusband | Ant: careerist, breadwinner",N/A,"Từ ghép gồm 'home' (nhà) + 'maker' (người làm nên, vun đắp).","Neutral (Trung tính) - Đây là từ mang sắc thái tôn trọng, trung lập về giới tính và hiện đại hơn từ cũ 'housewife'."
interaction,"<img src=""interaction.jpg"">",/ˌɪntərˈækʃən/,[sound:interaction.mp3],"sự tương tác, sự giao tiếp",Social {{c1::interaction}} is crucial for a child's development.,"Hành động giao tiếp, tiếp xúc hoặc làm việc cùng nhau, có sự tác động qua lại lẫn nhau giữa hai hoặc nhiều người/sự vật.",An occasion when two or more people or things communicate or react to each other.,"social interaction, face-to-face interaction, lack of interaction","Syn: communication, contact, interplay | Ant: isolation, avoidance",N/A,"Prefix 'inter-' (giữa các bên, qua lại) + Root 'action' (hành động, tác động).","Neutral/Academic (Trung tính/Học thuật) - Thường dùng trong tâm lý học, xã hội học, khoa học máy tính và đời sống xã hội."
involvement,"<img src=""involvement.jpg"">",/ɪnˈvɒlvmənt/,[sound:involvement.mp3],"sự tham gia, sự can thiệp",Parental {{c1::involvement}} in school activities is highly encouraged.,"Hành động tích cực tham gia vào một hoạt động, tổ chức hoặc có mối liên hệ mật thiết với một tình huống nào đó.",The act of taking part in something or being connected with it.,"parental involvement, active involvement, community involvement","Syn: participation, association, engagement | Ant: exclusion, detachment, apathy",N/A,"Root 'involve' (bao hàm, liên lụy) + Suffix '-ment' (danh từ chỉ hành động, quá trình).","Neutral/Formal (Trung tính/Trang trọng) - Thường dùng trong các văn bản giáo dục, nghiên cứu hành vi và báo cáo công việc."
manner,"<img src=""manner.jpg"">",/ˈmænər/,[sound:manner.mp3],"cách thức, thái độ cư xử",She answered all the questions in a professional {{c1::manner}}.,"Cách thức mà một việc được thực hiện; hoặc lối cư xử đối với người khác (dạng số nhiều 'manners' mang nghĩa là phép lịch sự, lễ nghi).",The way in which something is done or the way in which someone behaves.,"professional manner, polite manner, bad manners","Syn: way, method, behavior | Ant: N/A",mind your manners (hãy chú ý cách cư xử cho lịch sự),"Bắt nguồn từ tiếng Latin 'manus' (bàn tay) -> cách thức điều khiển, dẫn dắt bằng tay.",Neutral/Formal (Trung tính/Trang trọng) - Dùng số ít 'manner' để chỉ cách làm; dùng số nhiều 'manners' để chỉ lễ nghĩa giao tiếp.
privacy,"<img src=""privacy.jpg"">",/ˈprɪvəsi/,[sound:privacy.mp3],sự riêng tư,The family value their {{c1::privacy}} and rarely invite strangers.,"Trạng thái không bị làm phiền, bị dòm ngó hay can thiệp bởi những người xung quanh; quyền bảo mật thông tin cá nhân.","The state of being free from public attention, observation, or intrusion.","respect privacy, right to privacy, invasion of privacy","Syn: confidentiality, isolation, seclusion | Ant: publicity, exposure, openness",N/A,"Root 'private' (riêng tư) + Suffix '-cy' (trạng thái, phẩm chất đặc thù).",Neutral (Trung tính) - Được sử dụng rất rộng rãi từ quyền lợi cá nhân hằng ngày đến luật an toàn thông tin mạng.
resolve,"<img src=""resolve.jpg"">",/rɪˈzɒlv/,[sound:resolve.mp3],"giải quyết, quyết tâm",They managed to {{c1::resolve}} their dispute without going to court.,"Tìm ra một giải pháp thỏa đáng cho một vấn đề mâu thuẫn, tranh chấp hoặc khó khăn.","To find an acceptable solution to a problem, argument, or difficulty.","resolve conflict, resolve issues, resolve disputes","Syn: settle, solve, clear up | Ant: worsen, complicate, prolong",N/A,"Prefix 're-' (lặp lại, làm cho triệt để) + Root 'solvere' (nới lỏng, tháo gỡ khó khăn).","Formal (Trang trọng) - Sử dụng chủ yếu trong đàm phán chính trị, các cuộc tranh luận pháp lý và môi trường công sở."
responsibility,"<img src=""responsibility.jpg"">",/rɪˌspɒnsəˈbɪləti/,[sound:responsibility.mp3],trách nhiệm,It is the parents' {{c1::responsibility}} to ensure their kids' safety.,"Nghĩa vụ phải chịu trách nhiệm, quản lý hoặc giải quyết một công việc, hành động nào đó.",The state of having a duty to deal with something or being in charge of someone.,"take responsibility, accept responsibility, sense of responsibility","Syn: duty, obligation, liability | Ant: irresponsibility",on one's own responsibility (tự gánh chịu trách nhiệm của mình),"Root 'responsible' (đầy trách nhiệm, sẵn sàng đáp lại) + Suffix '-ity' (chỉ đặc tính, trạng thái danh từ).","Neutral/Formal (Trung tính/Trang trọng) - Thường dùng để chỉ bổn phận của mỗi người trong cuộc sống, học tập và làm việc."
strengthen,"<img src=""strengthen.jpg"">",/ˈstreŋθən/,[sound:strengthen.mp3],"làm mạnh thêm, củng cố",Regular communication will {{c1::strengthen}} our family bond.,"Làm cho một cái gì đó trở nên mạnh mẽ hơn, kiên cố hơn hoặc khó bị phá vỡ hơn (có thể dùng cho thể chất lẫn tinh thần, các mối quan hệ).",To make something stronger or more effective.,"strengthen bonds, strengthen relationships, strengthen muscles","Syn: reinforce, fortify, boost | Ant: weaken, undermine, damage",N/A,Noun 'strength' (sức mạnh) + Suffix '-en' (hậu tố động từ hóa: làm cho trở nên...).,"Neutral (Trung tính) - Dùng phổ biến để chỉ việc cải thiện sức khỏe cơ bắp, củng cố kinh tế hay thắt chặt tình cảm."
thrive,"<img src=""thrive.jpg"">",/θraɪv/,[sound:thrive.mp3],"phát triển mạnh mẽ, thịnh vượng",Children {{c1::thrive}} in a loving and supportive environment.,"Phát triển một cách khỏe mạnh, thành công, rực rỡ và thịnh vượng (nói về trẻ em, cây cối, doanh nghiệp hoặc một cộng đồng).","To grow, develop, or be highly successful, healthy, or strong.","thrive in an environment, thrive on pressure, business thrives","Syn: flourish, prosper, bloom | Ant: wither, fail, decline",thrive on something (phát triển rực rỡ/thích thú nhờ một thách thức hay áp lực nào đó),"Bắt nguồn từ tiếng Norse cổ 'thrífask' (nắm bắt thành tựu cho bản thân, phát tài).","Neutral/Formal (Trung tính/Trang trọng) - Mang sắc thái rất tích cực, thể hiện sự phát triển vượt bậc và bền bỉ."
truthful,"<img src=""truthful.jpg"">",/ˈtruːθ.fəl/,[sound:truthful.mp3],"chân thật, trung thực",She gave a completely {{c1::truthful}} account of what happened that night.,"Dùng để miêu tả người luôn nói thật, không gian dối, hoặc thông tin/lời nói phản ánh chính xác thực tế khách quan.",Honest and not containing or telling any lies.,"truthful answer, truthful account, be truthful with somebody","Syn: honest, candid, sincere | Ant: dishonest, untruthful, deceitful",to be honest/truthful with someone,"Gốc: truth (sự thật) + Hậu tố: -ful (đầy, có tính chất)","Neutral / Formal - Thường dùng trong bối cảnh nghiêm túc, lời khai, đạo đức hoặc đánh giá tính cách."
refer to something,"<img src=""refer.jpg"">",/rɪˈfɜːr tuː ˈsʌm.θɪŋ/,[sound:refer.mp3],đề cập đến / tham khảo cái gì,"In his speech, the director did not {{c1::refer to}} the ongoing financial crisis.","Dùng khi nói, viết hoặc nhắc đến một ai đó/điều gì đó; hoặc có nghĩa là tra cứu, tham khảo tài liệu để có thông tin.",To mention or speak about someone or something; or to look at something for information.,"refer to notes, refer to as, directly refer to","Syn: mention, allude to, cite | Ant: ignore, overlook, disregard",refer back to,"Tiền tố: re- (lại) + Gốc Latin: ferre (mang, hướng đến) + Giới từ: to","Neutral / Academic - Rất thông dụng trong văn bản học thuật, công việc và bài phát biểu trang trọng."
take care of,,/teɪk keər əv/,[sound:takecareof.mp3],"chăm sóc / giải quyết, xử lý",Don't worry about the hotel booking; I will {{c1::take care of}} it.,"Có hai nghĩa chính: chăm lo/trông nom cho người hoặc vật; hoặc chịu trách nhiệm giải quyết, xử lý một công việc, vấn đề cụ thể.","To look after someone or something, or to deal with a task or problem.","take care of business, take good care of, take care of oneself","Syn: look after, attend to, handle | Ant: neglect, abandon, ignore",take care (lời chào tạm biệt giữ gìn sức khỏe),Cụm cố định: Động từ 'take' + Danh từ 'care' + Giới từ 'of',Neutral - Sử dụng phổ biến và tự nhiên trong mọi ngữ cảnh từ đời sống hàng ngày đến công sở.
lack of something,"<img src=""lack.jpg"">",/læk əv ˈsʌm.θɪŋ/,[sound:lack.mp3],sự thiếu hụt cái gì,The project failed mainly due to a severe {{c1::lack of}} funding and resources.,Dùng dưới dạng cụm danh từ để chỉ tình trạng không có hoặc không có đủ một thứ gì đó cần thiết.,The state of not having something or not having enough of something.,"lack of sleep, lack of experience, lack of confidence","Syn: shortage, scarcity, deficiency | Ant: abundance, surplus, plenty",for lack of (do thiếu...),Danh từ: lack (sự thiếu thốn) + Giới từ: of (của),"Neutral / Formal - Rất hay xuất hiện trong văn phong học thuật, báo cáo phân tích nguyên nhân và tin tức."
make an effort,,/meɪk ən ˈef.ət/,[sound:makeaneffort.mp3],"nỗ lực, cố gắng",You need to {{c1::make an effort}} to practice speaking every day if you want to be fluent.,"Bỏ thời gian, công sức hoặc năng lượng thể chất/tinh thần để làm điều gì đó đòi hỏi sự cố gắng.","To try hard to do something, spending time and energy.","make a conscious effort, make every effort, make an effort to do something","Syn: strive, try hard, endeavor | Ant: give up, slack off","go the extra mile, put effort into",Động từ: make + Mạo từ: an + Danh từ gốc Latin: effort (từ ex- 'ra ngoài' + fortis 'sức mạnh'),"Neutral - Chuẩn mực và phù hợp trong mọi tình huống giao tiếp, học tập và công việc."
lead to something,"<img src=""lead.jpg"">",/liːd tuː ˈsʌm.θɪŋ/,[sound:lead.mp3],"dẫn đến, gây ra cái gì",Poor communication can easily {{c1::lead to}} serious misunderstandings within the team.,"Diễn tả mối quan hệ nhân quả: một hành động, sự việc hoặc nguyên nhân này mang lại một kết quả hoặc hậu quả nhất định.","To result in a particular action, condition, or consequence.","lead to success, lead to confusion, lead to a conclusion","Syn: cause, result in, bring about | Ant: prevent, avert, avoid","all roads lead to Rome, lead someone astray","Động từ: lead (dẫn dắt) + Giới từ: to (hướng đến, tới)","Neutral / Academic - Dùng nhiều trong bài luận học thuật, báo cáo phân tích và diễn đạt nguyên nhân - hệ quả."
grow up,,/ɡrəʊ ʌp/,[sound:growup.mp3],"lớn lên, trưởng thành",She {{c1::grew up}} in a peaceful countryside before moving to the capital city.,"Chỉ quá trình một đứa trẻ phát triển dần thành người lớn; hoặc được dùng như một lời nhắc nhở ai đó nên cư xử chín chắn, bớt trẻ con.",To gradually become an adult; to spend one's childhood in a specific place.,"grow up fast, when I grow up, be fully grown up","Syn: mature, develop, age | Ant: regress",grow out of something,"Động từ: grow (lớn lên, phát triển) + Tiểu từ: up (hoàn tất, hướng lên)","Neutral / Informal - Rất tự nhiên và thông dụng trong văn nói hàng ngày, kể chuyện cá nhân."
