English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
dweller,"<img src=""dweller.jpg"">",/ˈdwelər/,[sound:dweller.mp3],người sinh sống (ở một môi trường cụ thể),City {{c1::dweller}}s often suffer from high stress levels.,"Cư dân sống ở một kiểu môi trường hoặc địa điểm nhất định (như đô thị, nông thôn, hang động).",A person or animal that lives in a specified place.,"city dweller, urban dweller, cave dweller","Syn: resident, inhabitant, denizen | Ant: N/A",N/A,dwell (sinh sống) + -er (hậu tố chỉ người/vật thực hiện hành động),Neutral - Thường đi kèm tính từ/danh từ chỉ nơi chốn (urban/city dweller).
native,"<img src=""native.jpg"">",/ˈneɪtɪv/,[sound:native.mp3],"bản địa, người bản xứ","She is a {{c1::native}} speaker of English, born in London.",Thuộc về nơi ai đó sinh ra và lớn lên; hoặc sinh vật gốc của một vùng đất.,A person born in a specified place or associated with a place by birth.,"native speaker, native language, native species","Syn: indigenous, local, original | Ant: foreign, foreigner, alien",go native (hòa nhập hoàn toàn vào lối sống địa phương),nat- (sinh ra) + -ive (hậu tố tính từ/danh từ),"Neutral - Dùng trong ngôn ngữ học, sinh học, văn hóa."
community,"<img src=""community.jpg"">",/kəˈmjuːnəti/,[sound:community.mp3],cộng đồng,The local {{c1::community}} came together to clean up the park.,"Nhóm người sống trong cùng một khu vực hoặc có chung tôn giáo, quốc tịch, sở thích.",A group of people living in the same place or having a particular characteristic in common.,"local community, international community, community service","Syn: society, group, neighborhood | Ant: individual (trái nghĩa cá thể)",sense of community (ý thức/tình cảm cộng đồng),com- (cùng nhau) + munis (chia sẻ/dịch vụ) + -ity (hậu tố danh từ),"Neutral/Positive - Tạo cảm giác gắn kết, tương trợ."
enthusiastic,"<img src=""enthusiastic.jpg"">",/ɪnˌθjuːziˈæstɪk/,[sound:enthusiastic.mp3],"hăng hái, nhiệt tình",The audience gave an {{c1::enthusiastic}} welcome to the performers.,"Thể hiện sự thích thú, hào hứng và năng lượng tích cực đối với cái gì đó.","Having or showing intense and eager enjoyment, interest, or approval.","enthusiastic about, enthusiastic response, enthusiastic welcome","Syn: eager, passionate, excited | Ant: apathetic, indifferent",N/A,en- (trong) + theos (thần thánh) + -astic (hậu tố tính từ) -> tràn đầy cảm hứng như có thần nhập,Neutral/Positive - Mô tả thái độ tích cực trong công việc và cuộc sống.
experiment,"<img src=""experiment.jpg"">",/ɪkˈsperɪmənt/,[sound:experiment.mp3],"thí nghiệm, cuộc thử nghiệm",Scientists are conducting an {{c1::experiment}} to test the new drug.,Thử nghiệm khoa học hoặc hành động làm thử cái gì đó mới để kiểm tra kết quả.,"A scientific procedure undertaken to make a discovery, test a hypothesis, or demonstrate a known fact.","conduct an experiment, do an experiment, scientific experiment","Syn: test, trial, research | Ant: N/A",N/A,ex- (ra ngoài) + peri (thử nghiệm) + -ment (hậu tố danh từ),Neutral/Academic - Dùng nhiều trong khoa học và đổi mới sáng tạo.
struggle,"<img src=""struggle.jpg"">",/ˈstrʌɡl/,[sound:struggle.mp3],"đấu tranh, vật lộn",Many small businesses {{c1::struggle}} to survive during economic crises.,"Nỗ lực hết sức để vượt qua khó khăn, trở ngại hoặc đối phó với tình huống phức tạp.",To make forceful or violent efforts to get free or to strive to achieve something despite difficulties.,"struggle with, struggle against, daily struggle","Syn: strive, fight, labor | Ant: surrender, yield",struggle for breath (thở dốc/vật lộn để thở),"Gốc từ tiếng Đức/Scandinavia chỉ sự giằng co, chật vật","Neutral - Mô tả sự vất vả, nỗ lực kiên trì."
expand,"<img src=""expand.jpg"">",/ɪkˈspænd/,[sound:expand.mp3],"mở rộng, phát triển",The company plans to {{c1::expand}} its market into Southeast Asia.,"Làm cho kích thước, phạm vi, quy mô hoặc số lượng của cái gì đó to lớn hơn.",To become or make larger or more extensive.,"expand business, expand knowledge, expand horizon","Syn: enlarge, extend, broaden | Ant: contract, shrink",N/A,ex- (ra ngoài) + pand/pandere (mở rộng out),"Neutral/Business - Dùng phổ biến trong kinh doanh, tri thức, không gian."
adopt,"<img src=""adopt.jpg"">",/əˈdɒpt/,[sound:adopt.mp3],"nhận nuôi, áp dụng",The company decided to {{c1::adopt}} a new strategy to boost sales.,"Nhận trẻ em làm con nuôi; hoặc chấp nhận, áp dụng một phương pháp, thái độ hay chính sách mới.",To choose to take and use something as your own; to legally take another's child into your family.,"adopt a child, adopt a policy, adopt an approach","Syn: embrace, accept | Ant: reject, abandon",adopt out,ad- (tiền tố: hướng tới) + opt (ngữ căn: chọn lựa),Formal/Neutral - Dùng phổ biến trong cả giao tiếp đời sống lẫn môi trường doanh nghiệp/chính trị
self-employed,"<img src=""self-employed.jpg"">",/ˌself ɪmˈplɔɪd/,[sound:self-employed.mp3],"tự làm chủ, làm việc tự do",She left her corporate job to become a {{c1::self-employed}} graphic designer.,Tự kinh doanh hoặc làm công việc tự do mà không làm thuê cho một chủ lao động cụ thể nào.,Working for oneself as a freelancer or business owner rather than for an employer.,"self-employed worker, become self-employed, highly self-employed","Syn: freelance, independent | Ant: employed, salaried",work for oneself,self- (tự bản thân) + employ (thuê) + -ed (hậu tố tính từ),Neutral - Dùng phổ biến trong cả giao tiếp thường ngày và văn bản hành chính
hire,"<img src=""hire.jpg"">",/ˈhaɪə(r)/,[sound:hire.mp3],"thuê, tuyển dụng",The manager decided to {{c1::hire}} two new assistant accountants.,Tuyển dụng nhân viên mới hoặc trả tiền để thuê thiết bị/xe cộ trong một thời gian ngắn.,To employ someone for wages; to pay to use something for a short period.,"hire new staff, hire a car, for hire","Syn: employ, recruit | Ant: fire, dismiss","hire out, hire away",Gốc Anh cổ 'hȳrian' (thuê làm việc),Neutral - Sử dụng rộng rãi trong mọi bối cảnh đời sống và công việc
bridge,"<img src=""bridge.jpg"">",/brɪdʒ/,[sound:bridge.mp3],"cây cầu, thu hẹp (khoảng cách)",This new initiative helps to {{c1::bridge}} the gap between rich and poor.,"Cây cầu (danh từ); hoặc hành động làm cầu nối, thu hẹp khoảng cách giữa hai nhóm hoặc hai quan điểm khác nhau (động từ).",A structure built over an obstacle; (verb) to reduce or eliminate a gap between two things.,"bridge the gap, bridge a divide, suspension bridge","Syn: connect, link | Ant: divide, separate","burn one's bridges, cross that bridge when you come to it",Gốc Anh cổ 'brycg' (kết nối hai bên),"Neutral/Academic - Động từ thường mang tính ẩn dụ trong văn phong tin tức, học thuật"
adequately,,/ˈæd.ə.kwət.li/,[sound:adequately.mp3],"đầy đủ, thỏa đáng",Make sure you are {{c1::adequately}} prepared for the upcoming exam.,"Một cách đầy đủ, thích đáng, vừa đủ đạt mức tiêu chuẩn hoặc yêu cầu đề ra.",To a degree that is sufficient or acceptable.,"adequately prepared, adequately funded, adequately protected","Syn: sufficiently, satisfactorily | Ant: inadequately, insufficiently",meet requirements,ad- (hướng tới) + equa (bằng nhau) + -ate (hậu tố tính từ) + -ly (hậu tố trạng từ),"Neutral/Formal - Thường xuất hiện trong văn phong công việc, báo chí và học thuật"
strictly,"<img src=""strictly.jpg"">",/ˈstrɪkt.li/,[sound:strictly.mp3],"nghiêm ngặt, hoàn toàn",Smoking is {{c1::strictly}} forbidden inside the building.,"Một cách tuân thủ chính xác theo quy định; hoặc tuyệt đối, giới hạn trong phạm vi nhất định.",In a rigid or precise manner; entirely or exclusively.,"strictly forbidden, strictly speaking, strictly confidential","Syn: rigorously, tightly | Ant: leniently, loosely",strictly speaking,strict (nghiêm khắc) + -ly (hậu tố trạng từ),"Formal/Neutral - Nhấn mạnh tính kỷ luật, quy định bắt buộc"
mutually,,/ˈmjuː.tʃu.ə.li/,[sound:mutually.mp3],"lẫn nhau, cùng nhau",They reached a {{c1::mutually}} beneficial agreement after long negotiations.,Lẫn nhau; thể hiện sự tác động hoặc cảm xúc qua lại đồng đều từ hai phía.,In a way that is shared or experienced equally by two or more people.,"mutually beneficial, mutually exclusive, mutually agreed","Syn: jointly, reciprocally | Ant: unilaterally, individually",mutually exclusive,"mut- (trao đổi, thay đổi) + -ual (hậu tố tính từ) + -ly (hậu tố trạng từ)","Formal/Academic - Dùng nhiều trong hợp đồng, thương lượng, văn bản trang trọng"
widely,"<img src=""widely.jpg"">",/ˈwaɪd.li/,[sound:widely.mp3],"rộng rãi, phổ biến",English is {{c1::widely}} spoken all around the world.,"Trên diện rộng, được thực hiện hoặc tin tưởng bởi rất nhiều người/ở nhiều nơi.",By a large number of people or in many different places.,"widely used, widely accepted, widely believed","Syn: extensively, broadly | Ant: narrowly, restrictedly",far and wide,wide (rộng) + -ly (hậu tố trạng từ),Neutral - Sử dụng tự nhiên trong mọi bối cảnh giao tiếp và viết lách
progressive,"<img src=""progressive.jpg"">",/prəˈɡres.ɪv/,[sound:progressive.mp3],"tiến bộ, tăng dần",The country introduced a {{c1::progressive}} tax system to help low-income earners.,"Có tư tưởng đổi mới, hướng tới sự phát triển tiến bộ; hoặc diễn ra tăng dần theo thời gian.",Favoring social reform or new ideas; happening or developing gradually.,"progressive policy, progressive ideas, progressive tax","Syn: forward-looking, gradual | Ant: conservative, regressive",progressive movement,pro- (phía trước) + gress (bước đi) + -ive (hậu tố tính từ),"Neutral/Academic - Dùng nhiều trong các chủ đề kinh tế, chính trị, xã hội"
old-fashioned,"<img src=""old-fashioned.jpg"">",/ˌəʊldˈfæʃ.ənd/,[sound:old-fashioned.mp3],"Cổ điển, lỗi thời, bảo thủ",Some young people think their parents' values are {{c1::old-fashioned}}.,"Thuộc về kiểu cách, quan điểm hoặc thói quen của thời xưa, không còn phù hợp với xu hướng hiện đại.",Not modern; belonging to a time in the past.,"old-fashioned values, old-fashioned ideas, old-fashioned look","Syn: outdated, conservative | Ant: modern, fashionable",behind the times,Compound: old (cũ) + fashioned (được tạo kiểu),Neutral/Informal - Có thể mang hàm ý chê nhẹ tùy ngữ cảnh.
easy-going,"<img src=""easy-going.jpg"">",/ˌiː.ziˈɡəʊ.ɪŋ/,[sound:easy-going.mp3],"Dễ tính, thoải mái","My uncle is very {{c1::easy-going}}, so everyone enjoys talking to him.","Mô tả tính cách thư thái, không dễ bị nổi giận hay quá khắt khe với người khác.",Relaxed and happy to accept things without worrying or getting angry.,"easy-going personality, easy-going nature, easy-going attitude","Syn: relaxed, laid-back | Ant: strict, demanding",go with the flow,Compound: easy (dễ dàng) + going (đi/sống),Informal/Neutral - Từ thân mật dùng mô tả tính cách.
independent,"<img src=""independent.jpg"">",/ˌɪn.dɪˈpen.dənt/,[sound:independent.mp3],"độc lập, không phụ thuộc",She has been financially {{c1::independent}} since she started her own business.,"Tự chủ, không bị chi phối hoặc phụ thuộc vào sự giúp đỡ/tài chính của người khác.","Not depending on another person, authority, or country for control or livelihood.","financially independent, independent research, independent study","Syn: autonomous, self-reliant | Ant: dependent, reliant",independent thinker,in- (không) + de- (xuống) + pend (rủ/phụ thuộc) + -ent (hậu tố tính từ),Neutral - Dùng phổ biến trong mọi hoàn cảnh
controlling,"<img src=""controlling.jpg"">",/kənˈtrəʊ.lɪŋ/,[sound:controlling.mp3],"Kiểm soát, áp đặt",Teenagers may feel suffocated if their parents are overly {{c1::controlling}}.,"Có xu hướng muốn điều khiển, chi phối hoặc thao túng hành vi của người khác.",Trying to control other people and how they behave in an annoying way.,"controlling behavior, controlling parent, controlling relationship","Syn: domineering, bossy | Ant: permissive, lenient",control freak,Root: control (kiểm soát) + Suffix: -ing (tạo tính từ),Neutral/Informal - Mang nghĩa tiêu cực.
rebel,"<img src=""rebel.jpg"">",/rɪˈbel/,[sound:rebel.mp3],"Nổi loạn, chống đối",Adolescents sometimes {{c1::rebel}} against strict family rules.,"Chống lại thẩm quyền, quy tắc hoặc sự áp đặt của người lớn/chính quyền.",To refuse to obey rules or people in authority.,"rebel against authority, rebel against rules, teenage rebel","Syn: resist, defy | Ant: obey, comply",rebel against,Prefix: re- (lại/đối lập) + Root: bellum (chiến tranh),Neutral - Thường dùng miêu tả tâm lý tuổi mới lớn.
cautious,"<img src=""cautious.jpg"">",/ˈkɔː.ʃəs/,[sound:cautious.mp3],"thận trọng, cẩn giác",Investors are extremely {{c1::cautious}} about putting money into the new market.,"Cẩn thận tránh nguy hiểm hoặc rủi ro, suy tính kỹ trước khi hành động.",Careful to avoid potential problems or dangerous situations.,"cautious approach, cautious optimism, be cautious about","Syn: careful, prudent, wary | Ant: reckless, careless, rash",err on the side of caution,"caut- (chú ý, cảnh giác) + -ious (hậu tố tính từ)",Neutral - Phổ biến trong đời sống hàng ngày cũng như tài chính/kinh doanh
supportive,"<img src=""supportive.jpg"">",/səˈpɔː.tɪv/,[sound:supportive.mp3],"ủng hộ, khuyến khích",My parents were always {{c1::supportive}} of my decision to study art.,"Thể hiện sự giúp đỡ, cảm thông hoặc động viên tinh thần cho người khác.","Providing encouragement, emotional help, or practical assistance.","supportive environment, supportive family, highly supportive","Syn: encouraging, helpful | Ant: unsupportive, critical",lend a supportive hand,sub- (dưới) + port (mang/vác) + -ive (hậu tố tính từ),"Neutral/Positive - Mang thái độ khen ngợi, xây dựng tích cực"
selfish,"<img src=""selfish.jpg"">",/ˈsel.fɪʃ/,[sound:selfish.mp3],ích kỷ,It was {{c1::selfish}} of him to leave all the work for others to clean up.,Chỉ quan tâm tới lợi ích của bản thân mà không để ý đến cảm xúc hay nhu cầu người khác.,Caring only about oneself and not showing consideration for other people.,"selfish behavior, selfish motive, act selfishly","Syn: self-centered, egocentric | Ant: unselfish, altruistic",look out for number one,self (bản thân) + -ish (hậu tố tính từ chỉ tính chất),Neutral/Informal - Thường dùng để chỉ trích hành vi cá nhân trong đời sống
attitude,"<img src=""attitude.jpg"">",/ˈæt.ɪ.tʃuːd/,[sound:attitude.mp3],"thái độ, quan điểm",Maintaining a positive {{c1::attitude}} helps you solve challenges more effectively.,"Thái độ, quan niệm hoặc cách cư xử của một người đối với người khác hoặc vấn đề nào đó.","A settled way of thinking or feeling about someone or something, reflected in behavior.","positive attitude, attitude towards, change one's attitude","Syn: mindset, outlook, stance | Ant: N/A","attitude problem, strike an attitude","att- (tư thế, sự thích hợp) + -itude (hậu tố danh từ)","Neutral - Dùng phổ biến trong đời sống, tâm lý học và môi trường làm việc"
powerless,"<img src=""powerless.jpg"">",/ˈpaʊə.ləs/,[sound:powerless.mp3],"bất lực, không có quyền lực",The local residents felt {{c1::powerless}} to stop the deforestation project.,"Thiếu sức mạnh, quyền hạn hoặc khả năng tác động hay kiểm soát một tình huống.","Without ability, influence, or power to control what happens.","feel powerless, completely powerless, powerless against","Syn: helpless, impotent | Ant: powerful, influential",have one's hands tied,power (sức mạnh) + -less (hậu tố chỉ sự thiếu hụt),Neutral - Mô tả trạng thái cảm xúc hoặc vị thế thế yếu
reliable,"<img src=""reliable.jpg"">",/rɪˈlaɪ.ə.bəl/,[sound:reliable.mp3],đáng tin cậy,We need a {{c1::reliable}} assistant who can work efficiently under pressure.,"Có thể tin tưởng, trông cậy vì luôn hoạt động tốt hoặc giữ đúng lời hứa.",Consistently good in quality or performance; able to be trusted.,"reliable source, reliable service, highly reliable","Syn: trustworthy, dependable | Ant: unreliable, undependable",safe pair of hands,re- (lại) + lie (dựa vào) + -able (có thể),"Neutral/Positive - Dùng khi đánh giá con người, máy móc, thông tin"
relevant,"<img src=""relevant.jpg"">",/ˈrel.ə.vənt/,[sound:relevant.mp3],"có liên quan, thích đáng",Please provide all the {{c1::relevant}} documents during the job interview.,Có liên quan trực tiếp và phù hợp với vấn đề đang thảo luận hay xem xét.,Closely connected or appropriate to what is being done or considered.,"relevant information, relevant experience, highly relevant","Syn: pertinent, applicable | Ant: irrelevant, inapposite",to the point,re- (lại) + lev (nâng lên) + -ant (hậu tố tính từ),"Neutral/Academic - Rất thông dụng trong hồ sơ, phỏng vấn, báo cáo khoa học"
puberty,"<img src=""puberty.jpg"">",/ˈpjuː.bə.ti/,[sound:puberty.mp3],Tuổi dậy thì,Children undergo significant physical growth during {{c1::puberty}}.,Giai đoạn cơ thể sinh học phát triển biến biến đổi từ một đứa trẻ thành người trưởng thành.,The stage in people's lives when their bodies start to become physically adult.,"reach puberty, hit puberty, onset of puberty","Syn: adolescence, development | Ant: adulthood",hit puberty,Root: pubes (trưởng thành/lông mu) + Suffix: -ty (tạo danh từ),Neutral/Medical - Từ khoa học/sinh học phổ thông.
appealing,"<img src=""appealing.jpg"">",/əˈpiː.lɪŋ/,[sound:appealing.mp3],"hấp dẫn, lôi cuốn",The offer of a higher salary sounds very {{c1::appealing}} to most applicants.,"Tạo ra sức hút, khiến người khác cảm thấy thích thú hoặc muốn sở hữu.","Attractive, interesting, or pleasing to someone.","sound appealing, visually appealing, appealing offer","Syn: attractive, enticing | Ant: unappealing, repulsive",catch someone's eye,"ad- (hướng tới) + peal (khiếu nại, gọi) + -ing (hậu tố tính từ)","Neutral - Sử dụng linh hoạt trong đời sống, tiếp thị, quảng cáo"
requirement,"<img src=""requirement.jpg"">",/rɪˈkwaɪə.mənt/,[sound:requirement.mp3],"yêu cầu, điều kiện tiên quyết",Fluent English is a mandatory {{c1::requirement}} for this position.,Điều bắt buộc phải đáp ứng theo quy định; hoặc nhu cầu cần thiết.,A condition that must be met; something that is needed.,"meet requirements, legal requirement, basic requirement","Syn: prerequisite, condition, necessity | Ant: option, luxury",satisfy a requirement,"re- (lại) + quire (tìm kiếm, hỏi) + -ment (hậu tố danh từ)","Formal/Neutral - Phổ biến trong văn bản pháp lý, tuyển dụng, đào tạo"
privacy,"<img src=""privacy.jpg"">",/ˈprɪv.ə.si/,[sound:privacy.mp3],Sự riêng tư,Parents should respect their children's personal {{c1::privacy}}.,"Quyền hoặc trạng thái không bị người khác soi mói, quấy rỗi hay can thiệp vào đời sống riêng.",The state of being alone and not watched or disturbed by other people.,"respect privacy, invasion of privacy, right to privacy","Syn: solitude, seclusion | Ant: publicity, openness",in the privacy of,Root: private (riêng tư) + Suffix: -cy (tạo danh từ),Neutral - Từ phổ thông được sử dụng rộng rãi.
impose,"<img src=""impose.jpg"">",/ɪmˈpəʊz/,[sound:impose.mp3],"áp đặt, ban hành (thuế/luật)",The government decided to {{c1::impose}} new sanctions on illegal trading.,"Bắt người khác phải chấp nhận luật lệ, thuế khóa hoặc quan điểm của mình.","To force a law, rule, or belief to be accepted or put in place.","impose taxes, impose restrictions, impose limits","Syn: enforce, inflict | Ant: lift, remove",impose upon someone,im- (vào trong) + pose (đặt/để),"Formal - Dùng nhiều trong các bối cảnh chính trị, pháp luật, quản lý"
model,"<img src=""model.jpg"">",/ˈmɒd.əl/,[sound:model.mp3],"mô hình, người mẫu, tấm gương",She is considered a role {{c1::model}} for young women in science.,Mô hình thiết kế; người làm nghề người mẫu; hoặc hình mẫu/tấm gương lý tưởng để noi theo.,A representation of something; an example to be copied; a person who models clothes.,"role model, business model, working model","Syn: prototype, pattern, archetype | Ant: N/A","role model, model student","mod (quy chuẩn, đo lường) + -el (hậu tố thu nhỏ)","Neutral - Sử dụng đa dạng trong nhiều lĩnh vực: thời trang, giáo dục, kinh doanh"
curfew,"<img src=""curfew.jpg"">",/ˈkɜː.fjuː/,[sound:curfew.mp3],"Giờ giới nghiêm, giờ phải về nhà",Her parents set a strict {{c1::curfew}} of 10 p.m. on weekends.,Quy định thời gian bắt buộc ai đó phải về nhà hoặc không được ở bên ngoài vào buổi tối.,A rule that everyone must stay indoors between certain hours at night.,"set a curfew, impose a curfew, break curfew","Syn: restriction, deadline | Ant: freedom",miss curfew,Origin: Tiếng Pháp cổ 'couvre-feu' (dập lửa/che lửa tối),Neutral - Dùng phổ biến trong quy định gia đình hoặc an ninh.
adversity,"<img src=""adversity.jpg"">",/ədˈvɜː.sə.ti/,[sound:adversity.mp3],"Nghịch cảnh, sự khó khăn",He showed great courage in the face of {{c1::adversity}}.,"Tình huống vô cùng khó khăn, bất hạnh hoặc xui xẻo xảy ra trong cuộc sống.",A difficult or unlucky situation or event.,"face adversity, overcome adversity, in the face of adversity","Syn: hardship, misfortune | Ant: prosperity, fortune",adverse circumstances,Prefix: ad- (hướng về) + Root: vert (xoay) + Suffix: -ity (tạo danh từ),"Formal/Literary - Trang trọng, dùng nhiều trong văn viết."
survival,"<img src=""survival.jpg"">",/səˈvaɪ.vəl/,[sound:survival.mp3],"sự sống còn, sự tồn tại",Clean drinking water is essential for human {{c1::survival}}.,"Tình trạng tiếp tục sống hoặc tồn tại qua khỏi hoàn cảnh khó khăn, nguy hiểm.","The state of continuing to live or exist, especially in spite of danger.","survival skills, survival rate, fight for survival","Syn: endurance, persistence | Ant: death, extinction",survival of the fittest,super- (vượt qua) + viv (sống) + -al (hậu tố danh từ),"Neutral - Dùng phổ biến trong sinh học, y tế và đời sống"
manner,"<img src=""manner.jpg"">",/ˈmæn.ər/,[sound:manner.mp3],"cách thức, thái độ cư xử",He answered all the questions in a professional {{c1::manner}}.,"Cách thức tiến hành công việc; (ở số nhiều 'manners') chỉ phong thái, lễ tiết ứng xử.",The way in which something is done; social behavior toward others.,"in a manner, good manners, bedside manner","Syn: way, approach, demeanor | Ant: N/A","table manners, all manner of",manu- (bàn tay) + -er (hậu tố danh từ),"Neutral/Formal - Hay dùng khi mô tả tác phong, quy chuẩn ứng xử"
habit,"<img src=""habit.jpg"">",/ˈhæb.ɪt/,[sound:habit.mp3],thói quen,Eating fruits daily is a healthy {{c1::habit}} you should maintain.,Hành vi được lặp đi lặp lại thường xuyên đến mức trở thành tự động.,"A settled or regular practice, especially one that is hard to give up.","form a habit, break a habit, healthy habit","Syn: routine, custom, practice | Ant: irregularity","kick the habit, force of habit","habit- (ở, cư trú, trạng thái duy trì)",Neutral - Dùng phổ biến trong sinh hoạt hàng ngày và tâm lý học
afford,"<img src=""afford.jpg"">",/əˈfɔːd/,[sound:afford.mp3],"có thể chi trả, đủ khả năng",We cannot {{c1::afford}} to buy a new car right now.,"Có đủ tài chính, thời gian hoặc điều kiện để mua/làm việc gì đó mà không gặp rủi ro.",To have enough money or time to pay for or do something.,"afford to buy, can ill afford, afford the cost","Syn: pay for, bear, manage | Ant: N/A",afford an opportunity,"Biến thể từ tiếng Anh cổ 'geforðian' (thực hiện, hoàn thành)",Neutral - Rất thông dụng trong đời sống và quản lý tài chính cá nhân
renew,"<img src=""renew.jpg"">",/rɪˈnjuː/,[sound:renew.mp3],"gia hạn, làm mới",I need to {{c1::renew}} my membership at the gym this weekend.,"Gia hạn thời gian hiệu lực của giấy tờ, hợp đồng; hoặc phục hồi trạng thái mới.",To extend the period of validity of something; to restore or refresh.,"renew a passport, renew a contract, renew membership","Syn: extend, refresh, restore | Ant: expire, cancel",renew acquaintance,re- (lại) + new (mới),"Neutral/Formal - Sử dụng nhiều trong hợp đồng, thủ tục hành chính"
secure,"<img src=""secure.jpg"">",/sɪˈkjʊə(r)/,[sound:secure.mp3],"an toàn, đạt được, đảm bảo",She managed to {{c1::secure}} a high-paying job after graduation.,"An toàn, chắc chắn (tính từ); đạt được hoặc bảo vệ thành công cái gì đó (động từ).","Safe from harm; (verb) to succeed in obtaining something, sometimes with difficulty.","secure a job, feel secure, secure funding","Syn: obtain, safe, protected | Ant: insecure, lose, risk",secure against,se- (không có) + cure (sự lo lắng) -> không còn lo âu,"Neutral/Formal - Phổ biến trong kinh doanh, an ninh, tâm lý"
forbid,"<img src=""forbid.jpg"">",/fəˈbɪd/,[sound:forbid.mp3],"Cấm, ngăn cấm",My parents {{c1::forbid}} me from going out late on weekdays.,Ra lệnh không cho phép ai làm điều gì hoặc cấm một việc gì đó xảy ra.,"To order someone not to do something, or to not allow something.","strictly forbid, forbid someone from doing, God forbid","Syn: prohibit, ban | Ant: allow, permit",God forbid,Prefix: for- (hoàn toàn/xa khỏi) + Root: bid (ra lệnh),Formal/Neutral - Từ mang tính mệnh lệnh rõ rệt.
burden,"<img src=""burden.jpg"">",/ˈbɜː.dən/,[sound:burden.mp3],Gánh nặng,He didn't want to become a financial {{c1::burden}} to his elderly parents.,"Điều gì đó gây phiền phức, lo âu, áp lực hoặc gánh nặng chi phí cho người khác.","A heavy load that is difficult to carry, or a duty that causes stress or worry.","financial burden, bear the burden, heavy burden","Syn: load, strain | Ant: benefit, relief",be a burden to someone,Root: beran (tiếng Anh cổ - mang/vác),Neutral - Thường dùng khi nói về áp lực tài chính/tâm lý.
bond,"<img src=""bond.jpg"">",/bɒnd/,[sound:bond.mp3],"sự gắn kết, trái phiếu",Travelling together helped to create a strong {{c1::bond}} among family members.,Mối quan hệ tình cảm gắn kết giữa người với người; hoặc chứng khoán nợ (trái phiếu).,A close connection joining people together; a legal agreement or financial loan.,"strong bond, emotional bond, government bond","Syn: connection, tie, link | Ant: separation, rift",bond with someone,"Gốc ngữ từ 'bind' (buộc lại, kết nối)",Neutral/Academic - Dùng trong cả tâm lý học xã hội và tài chính
find oneself in something,"<img src=""find.jpg"">",/faɪnd wʌnˈself ɪn ˈsʌm.θɪŋ/,[sound:find.mp3],nhận ra mình đang ở trong (hoàn cảnh),He unexpectedly {{c1::found himself in}} a difficult financial situation.,"Bất ngờ hoặc vô tình nhận ra bản thân rơi vào một tình huống, hoàn cảnh nhất định.","To discover that one is in a particular situation, usually unintentionally.","find oneself in trouble, find oneself in debt, find oneself in a predicament","Syn: end up in, turn out to be in | Ant: N/A",find oneself,Cấu trúc gồm động từ find + đại từ phản thân + giới từ in,Neutral - Dùng phổ biến trong lối văn kể chuyện và đời sống hàng ngày
hang out,"<img src=""hangout.jpg"">",/hæŋ aʊt/,[sound:hangout.mp3],"tụ tập, đi chơi",We usually {{c1::hang out}} at the local cafe after work.,"Dùng để chỉ việc dành thời gian thư giãn, đi chơi hoặc gặp gỡ ai đó một cách thoải mái, không có kế hoạch hay mục đích công việc cụ thể.",To spend time relaxing or socializing informally with someone.,"hang out with friends, hang out at a cafe, hang out together","Syn: chill, socialize, gather | Ant: isolate, stay alone",hang someone out to dry (bỏ rơi ai trong hoàn cảnh khó khăn),"Cụm động từ gồm động từ 'hang' (treo, gắn) và tiểu từ 'out' (ra ngoài), mang nghĩa mở rộng là la cà, dành thời gian ở bên ngoài cùng người khác.","Informal - Dùng trong giao tiếp hàng ngày, trò chuyện thân mật, không dùng trong văn bản trang trọng."
digital native,,/ˌdɪdʒ.ə.təl ˈneɪ.tɪv/,[sound:digitalnative.mp3],người sinh ra trong thời đại công nghệ số,"As a {{c1::digital native}}, she naturally knows how to navigate new software and devices.","Chỉ những người sinh ra và lớn lên trong kỷ nguyên công nghệ kỹ thuật số, đã quen thuộc với Internet, máy tính và điện thoại thông minh từ nhỏ.",A person born or brought up during the age of digital technology and so familiar with computers and the internet from an early age.,"true digital native, generation of digital natives, digital native generation","Syn: netizen, tech-savvy person | Ant: digital immigrant",N/A,"Gồm tính từ 'digital' (thuộc kỹ thuật số, từ gốc Latin 'digitus' - ngón tay) + danh từ 'native' (người bản xứ, gốc Latin 'nativus' - sinh ra). Nghĩa đen là 'người bản xứ của thế giới số'.","Neutral / Academic - Được sử dụng phổ biến trong báo chí, nghiên cứu xã hội học, giáo dục và giao tiếp công việc."
table manners,,/ˈteɪ.bəl ˌmæn.əz/,[sound:tablemanners.mp3],Quy tắc ứng xử trên bàn ăn,Teaching children good {{c1::table manners}} is an important part of family education.,"Các quy tắc lịch sự, phép xã giao được kỳ vọng khi ăn uống chung với người khác.",The rules of polite behavior while eating at a table.,"good table manners, bad table manners, teach table manners",Syn: dining etiquette | Ant: bad manners,mind one's manners,Compound: table (bàn) + manners (hành vi/quy tắc),Neutral/Formal - Dùng trong giáo dục phép ứng xử.
