English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
privacy,"<img src=""privacy.jpg"">",/ˈprɪv.ə.si/,[sound:privacy.mp3],"Sự riêng tư, quyền riêng tư",Please knock before entering to respect my {{c1::privacy}}.,"Trạng thái được ở một mình mà không bị người khác soi mói, làm phiền; quyền được giữ kín các thông tin cá nhân.",The state of being free from public attention or intrusion into one's private life.,"invasion of privacy, respect privacy, right to privacy","Syn: solitude, seclusion, confidentiality; Ant: publicity, openness",in the privacy of one's own home,"Từ tính từ 'private' (riêng tư, cá nhân) kết hợp với hậu tố danh từ '-cy' chỉ trạng thái, tính chất.","Neutral. Thường xuất hiện trong các cuộc hội thoại đời sống, pháp luật cá nhân hoặc các tranh biện về bảo mật công nghệ."
relative,"<img src=""relative.jpg"">",/ˈrel.ə.tɪv/,[sound:relative.mp3],"Họ hàng, người thân (danh từ)",We invited only close {{c1::relatives}} to our small wedding ceremony.,"Một người có mối quan hệ máu mủ hoặc quan hệ thông gia, kết hôn trong một gia đình.",A member of your family; a person connected by blood or marriage.,"close relative, distant relative, blood relative","Syn: relation, family member, kin; Ant: stranger, outsider",none,"Từ gốc Latin 'relativus' (có liên quan đến), phát triển từ 'referre' (liên hệ lại). Thêm hậu tố tính từ/danh từ '-ive'.","Neutral. Là cách gọi lịch sự, mang tính bao quát và trang trọng hơn từ 'family members'."
respectful,"<img src=""respectful.jpg"">",/rɪˈspekt.fəl/,[sound:respectful.mp3],"Tôn trọng, lễ phép, kính trọng",He always listens to his parents' advice in a very {{c1::respectful}} manner.,"Thể hiện thái độ lịch thiệp, tôn kính và coi trọng người khác, đặc biệt là người lớn tuổi hoặc có địa vị cao.",Feeling or showing deference and respect.,"respectful silence, respectful attitude, respectful of others","Syn: polite, courteous, deferential; Ant: disrespectful, rude, impolite",pay one's respects,"Gốc 'respect' (sự tôn trọng, nhìn nhận) + hậu tố tính từ '-ful' (chứa đựng nhiều, đầy tính chất).",Neutral/Formal. Được dùng để mô tả một phẩm chất đạo đức tốt đẹp và chuẩn mực trong giao tiếp xã hội.
routine,"<img src=""routine.jpg"">",/ruːˈtiːn/,[sound:routine.mp3],"Thói quen hàng ngày, quy trình thường nhật",Getting up at 6 AM has become a fixed part of my daily {{c1::routine}}.,Trình tự các hành động được thực hiện cố định và lặp đi lặp lại một cách đều đặn mỗi ngày hoặc định kỳ.,A sequence of actions regularly followed; a fixed program.,"daily routine, establish a routine, morning routine","Syn: habit, custom, schedule; Ant: irregularity, novelty, disruption",break the routine,"Mượn từ tiếng Pháp 'routine', vốn phát triển từ 'route' (con đường, lối đi quen thuộc) + hậu tố '-ine'.","Neutral. Rất thông dụng khi mô tả lối sống cá nhân, lịch làm việc hoặc thói quen sinh hoạt."
rudeness,"<img src=""rudeness.jpg"">",/ˈruːd.nəs/,[sound:rudeness.mp3],"Sự thô lỗ, sự bất lịch sự",I was shocked by the sheer {{c1::rudeness}} of the store assistant.,"Thái độ, lời nói hoặc hành vi thiếu văn hóa, không tôn trọng người khác hoặc vi phạm các chuẩn mực ứng xử xã hội.",Lack of manners; offensive or impolite behavior.,"act of rudeness, apology for rudeness, tolerate rudeness","Syn: impoliteness, insolence, discourtesy; Ant: politeness, courtesy, civility",speak rudely,"Gốc tính từ 'rude' (thô sơ, thiếu tinh tế, vô lễ) kết hợp với hậu tố danh từ '-ness' (chỉ trạng thái, tính chất).",Neutral. Thường mang sắc thái đánh giá tiêu cực rõ ràng về mặt hành vi ứng xử của một đối tượng.
thankfulness,"<img src=""thankfulness.jpg"">",/ˈθæŋk.fəl.nəs/,[sound:thankfulness.mp3],"Lòng biết ơn, sự cảm kích",The children's eyes were filled with {{c1::thankfulness}} when they received the gifts.,"Cảm giác vui mừng và biết ơn vì nhận được điều tốt lành, sự giúp đỡ hoặc một món quà ý nghĩa.",The state of being happy and grateful for something.,"express thankfulness, feel thankfulness, full of thankfulness","Syn: gratitude, appreciation, gratefulness; Ant: ungratefulness, thanklessness",none,"Gốc động từ 'thank' + hậu tố tính từ '-ful' (đầy, nhiều) + hậu tố danh từ '-ness' (trạng thái cảm xúc).","Neutral. Gần nghĩa với 'gratitude' nhưng mang sắc thái cảm xúc tự nhiên, mộc mạc và ít trang trọng hơn một chút."
thoughtful,"<img src=""thoughtful.jpg"">",/ˈθɔːt.fəl/,[sound:thoughtful.mp3],"Chu đáo, ân cần, hay suy nghĩ chín chắn",It was very {{c1::thoughtful}} of you to send me flowers when I was sick.,"Luôn quan tâm, tinh tế nhận ra và nghĩ cho cảm xúc, nhu cầu của người khác; hoặc thể hiện sự suy nghĩ thấu đáo.",Showing consideration for the needs of other people; given to or characterized by careful thought.,"thoughtful gesture, thoughtful person, deeply thoughtful","Syn: considerate, caring, reflective; Ant: thoughtless, inconsiderate, selfish",lost in thought,"Gốc danh từ 'thought' (suy nghĩ) kết hợp với hậu tố tính từ '-ful' (đầy tính chất, hay thực hiện việc đó).","Neutral. Mang sắc thái khen ngợi, khẳng định một nét tính cách đẹp đẽ và đầy sự tinh tế của đối tượng."
thoughtfully,"<img src=""thoughtfully.jpg"">",/ˈθɔːt.fəl.i/,[sound:thoughtfully.mp3],"Một cách chu đáo, một cách chín chắn/sâu sắc",She {{c1::thoughtfully}} prepared a quiet room for her guest to study.,"Hành động được thực hiện một cách cẩn thận, ân cần và có cân nhắc kỹ lưỡng đến cảm nhận hoặc lợi ích của người khác.",In a way that shows consideration for others; after careful thought.,"thoughtfully planned, answer thoughtfully, nod thoughtfully","Syn: considerately, carefully, reflectively; Ant: thoughtlessly, carelessly",none,Gốc danh từ 'thought' + hậu tố tính từ '-ful' + hậu tố trạng từ '-ly' (chỉ cách thức thực hiện hành động).,"Neutral. Thường dùng trong văn phong viết để miêu tả hành vi lịch sự, chu đáo hoặc thái độ trầm ngâm, chín chắn."
throughout,"<img src=""throughout.jpg"">",/θruːˈaʊt/,[sound:throughout.mp3],"xuyên suốt, khắp nơi",The epidemic spread {{c1::throughout}} the entire country within weeks.,"Dùng để chỉ vị trí (ở khắp mọi nơi trong một vùng, một quốc gia) hoặc thời gian (suốt một khoảng thời gian từ đầu đến cuối).",In every part of a place; during the whole period of time.,"throughout the year, throughout the world, throughout history","Syn: all over, during | Ant: in parts, momentarily",N/A,"Hợp thành từ 'through' (qua, xuyên) và 'out' (ngoài), mang nghĩa xuyên suốt từ trong ra ngoài.",Neutral đến Formal. Thường dùng trong cả văn viết học thuật và đời sống trang trọng.
treat,"<img src=""treat.jpg"">",/triːt/,[sound:treat.mp3],"đối xử, điều trị, thiết đãi",She always {{c1::treats}} her employees with respect and kindness.,"Động từ đa nghĩa: cư xử với ai đó; điều trị y tế cho bệnh nhân; hoặc chiêu đãi, bao ăn uống.",To behave towards someone in a particular way; to give medical care; to buy or pay for something for someone.,"treat someone well/badly, treat an illness, treat someone to lunch","Syn: behave toward, cure, entertain | Ant: mistreat, neglect","trick or treat, treat someone like dirt","Nguồn gốc từ tiếng Pháp cổ 'traitier', từ tiếng Latin 'tractare' (quản lý, xử lý, kéo dài).",Neutral. Từ vựng thông dụng hàng ngày phù hợp với mọi ngữ cảnh giao tiếp.
viewpoint,"<img src=""viewpoint.jpg"">",/ˈvjuːpɔɪnt/,[sound:viewpoint.mp3],"quan điểm, góc nhìn","From a financial {{c1::viewpoint}}, the project was a complete success.","Cách nhìn nhận, đánh giá hoặc suy nghĩ cá nhân/tổ chức về một vấn đề nào đó.",A particular way of thinking about something; an opinion.,"from a political viewpoint, a different viewpoint, share a viewpoint","Syn: perspective, point of view, outlook | Ant: N/A",N/A,"Từ ghép bởi 'view' (gốc nhìn, xem) và 'point' (điểm), tức là điểm để từ đó nhìn nhận vấn đề.",Neutral to Formal. Thường xuất hiện trong văn viết nghị luận và thảo luận học thuật.
wealth,"<img src=""wealth.jpg"">",/welθ/,[sound:wealth.mp3],"sự giàu có, sự dồi dào",Her family's {{c1::wealth}} allowed her to study at the most prestigious university.,"Sự sở hữu lượng lớn tiền bạc, tài sản quý giá, hoặc sự phong phú về kiến thức, trải nghiệm.","A large amount of money, property, or valuable possessions; an abundance of something.","accumulate wealth, wealth of knowledge, distribution of wealth","Syn: affluence, riches, abundance | Ant: poverty, scarcity",a wealth of (information/experience),"Phát triển từ tiếng Anh trung cổ 'welthe' (sự khỏe mạnh, hạnh phúc, thịnh vượng), liên quan chặt chẽ với từ 'well'.",Neutral. Dùng phổ biến cả trong văn nói đời thường và các văn bản phân tích kinh tế.
bridge the gap,,/brɪdʒ ðə ɡæp/,[sound:bridgethegap.mp3],"rút ngắn khoảng cách, cầu nối",The new mentoring program aims to {{c1::bridge the gap}} between senior managers and junior staff.,"Giảm bớt hoặc loại bỏ sự khác biệt, khoảng cách về thế hệ, văn hóa, hoặc sự hiểu biết giữa hai bên.","To reduce or eliminate the difference or distance between two groups, situations, or ideas.","bridge the generation gap, bridge the gap between, effort to bridge the gap","Syn: reconcile, narrow the distance, connect | Ant: widen the gap, divide",bridge the divide,Nghĩa đen là 'xây cầu qua khoảng trống'. Gồm động từ 'bridge' (làm cầu nối) và danh từ 'gap' (khoảng trống).,"Neutral to Formal. Rất phổ biến trong môi trường công sở, giáo dục và các bài viết nghị luận."
focus on,,/ˈfoʊkəs ɒn/,[sound:focuson.mp3],tập trung vào,"To succeed in your studies, you need to {{c1::focus on}} your weak subjects.","Dành toàn bộ sự chú ý, nỗ lực hoặc năng lượng vào một đối tượng hoặc hoạt động cụ thể.","To give all your attention, effort, or interest to a particular person, thing, or activity.","focus attention on, focus intensely on, primary focus on","Syn: concentrate on, center on, pay attention to | Ant: distract from, ignore",focus of attention,"'Focus' xuất phát từ tiếng Latinh nghĩa là 'lò sưởi' (trọng tâm của ngôi nhà xưa), đi cùng giới từ 'on' để định hướng mục tiêu.","Neutral. Phổ biến cực kỳ trong cả đời sống thường nhật lẫn môi trường học thuật, công sở."
impact on something,"<img src=""impact.jpg"">",/ˈɪmpækt ɒn ˈsʌmθɪŋ/,[sound:impact.mp3],"tác động, ảnh hưởng lên cái gì",Social media has a profound {{c1::impact on}} the mental health of teenagers.,"Tác dụng, ảnh hưởng mạnh mẽ, hoặc hệ quả trực tiếp của một sự vật, sự việc lên một đối tượng khác.","The powerful effect that something has on a situation, person, or thing.","have a direct impact on, negative impact on, major impact on","Syn: effect on, influence on | Ant: N/A",cushion the impact,Từ gốc 'impact' gốc Latin 'impactus' (đập mạnh vào). Đi kèm giới từ 'on' để chỉ đối tượng chịu tác động.,"Neutral to Formal. Thường dùng nhiều trong văn viết nghị luận, báo cáo khoa học."
make decisions,,/meɪk dɪˈsɪʒənz/,[sound:makedecisions.mp3],đưa ra quyết định,Managers must be able to {{c1::make decisions}} quickly under high pressure.,"Quá trình suy nghĩ, đánh giá các lựa chọn để đi đến một quyết định hay hướng giải quyết cuối cùng.",To choose a course of action after careful thought.,"make rational decisions, make tough decisions, freedom to make decisions","Syn: decide, make up one's mind, resolve | Ant: hesitate, waver",make or break decision,"Sự kết hợp giữa động từ tạo lập 'make' và danh từ 'decisions' (quyết định, gốc 'decide' nghĩa là cắt đứt sự do dự).",Neutral. Phù hợp cho cả hội thoại hàng ngày và trong môi trường làm việc chuyên nghiệp.
pay attention to,"<img src=""pay.jpg"">",/peɪ əˈtenʃən tuː/,[sound:pay.mp3],"chú ý đến, lưu ý tới",Please {{c1::pay attention to}} the safety instructions before the flight takes off.,"Lắng nghe, quan sát hoặc tập trung suy nghĩ một cách cẩn thận về một ai đó hoặc điều gì đó.","To watch, listen to, or think about someone or something carefully.","pay close attention to, pay direct attention to, pay scant attention to","Syn: focus on, take note of, heed | Ant: ignore, neglect, pay no heed to",draw someone's attention to,"Động từ 'pay' (trả giá/dành ra) kết hợp danh từ 'attention' (sự chú ý, gốc Latin 'attendere' - hướng tâm trí về).","Neutral. Sử dụng tự nhiên trong cả văn nói hàng ngày lẫn văn cảnh lớp học, công việc."
struggle with,,/ˈstrʌɡəl wɪð/,[sound:strugglewith.mp3],"vật lộn với, gặp khó khăn với",Many international students {{c1::struggle with}} the language barrier in their first year.,"Gặp rất nhiều khó khăn và phải nỗ lực hết sức lực, tâm trí để giải quyết hoặc vượt qua một vấn đề.",To experience great difficulty in dealing with or trying to overcome something.,"struggle with mental health, struggle with a disease, struggle with finances","Syn: fight, battle, grapple with | Ant: breeze through, cope easily with",struggle for breath,"Động từ 'struggle' (vật lộn, đấu tranh) + giới từ 'with' (với - biểu thị đối tượng gây ra khó khăn).","Neutral. Diễn tả khó khăn một cách chân thực và đồng cảm, dùng nhiều trong đời sống và nghiên cứu tâm lý xã hội."
take care of,,/teɪk keər ɒv/,[sound:takecareof.mp3],"chăm sóc, giải quyết, lo liệu",Don't worry about the booking; I will {{c1::take care of}} everything.,"Chăm nom, bảo vệ ai/cái gì; hoặc chịu trách nhiệm xử lý, giải quyết một công việc/vấn đề cụ thể.",To protect someone or something and provide what they need; to deal with or be responsible for a task.,"take good care of, take care of business, take care of oneself","Syn: look after, mind, handle, deal with | Ant: neglect, ignore",take care (Bảo trọng!),"Động từ 'take' (nhận) + danh từ 'care' (sự chăm sóc, lo lắng) + giới từ 'of' (về).",Neutral. Phổ biến cực kỳ trong đời sống thường nhật và trong các giao dịch công việc hàng ngày.
take part in something,"<img src=""take.jpg"">",/teɪk pɑːt ɪn ˈsʌmθɪŋ/,[sound:take.mp3],tham gia vào cái gì,Thousands of athletes from all over the world will {{c1::take part in}} the Olympic Games.,"Tham gia, góp mặt và đóng vai trò tích cực trong một hoạt động, sự kiện, tổ chức hoặc cuộc thi.",To be involved in an activity with other people; to participate.,"take part in a competition, take part in a discussion, actively take part in","Syn: participate in, join, engage in | Ant: withdraw from, abstain from",N/A,"'Take' (lấy) + 'part' (phần, vai trò) + 'in' (trong). Có nghĩa là đảm nhận một phần vai trò trong một hoạt động chung.","Neutral. Thân thiện, tự nhiên hơn từ đồng nghĩa 'participate' (mang tính trang trọng)."
