English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
self-control,"<img src=""self-control.jpg"">",/ˌself.kənˈtrəʊl/,[sound:self-control.mp3],"sự tự chủ, sự kiềm chế",It takes great {{c1::self-control}} to resist sweet treats when on a diet.,"Khả năng kiểm soát cảm xúc, mong muốn và hành vi của bản thân trước các cám dỗ hoặc áp lực.","The ability to control oneself, in particular one's emotions and desires or the expression of them in one's behavior.","lose self-control, exercise self-control, lack self-control","Syn: willpower, self-restraint | Ant: impulsiveness, recklessness",keep oneself in check,self (bản thân) + control (kiểm soát),Neutral - Phổ biến trong đời sống hàng ngày và tâm lý học.
soft,"<img src=""soft.jpg"">",/sɒft/,[sound:soft.mp3],"mềm mại, nhẹ nhàng",She spoke in a {{c1::soft}} voice so as not to wake the sleeping baby.,"Mềm, không cứng; hoặc nhẹ nhàng, êm dịu (âm thanh, ánh sáng, tính cách).","Easy to mould, cut, compress, or fold; not hard or firm; gentle.","soft voice, soft cushion, soft skills","Syn: gentle, tender, smooth | Ant: hard, rough, harsh","soft spot, soft touch","sōfte (gốc tiếng Anh cổ: êm ái, nhẹ nhàng)",Neutral - Từ cơ bản cực kỳ phổ biến.
stability,"<img src=""stability.jpg"">",/stəˈbɪləti/,[sound:stability.mp3],"sự ổn định, sự bền vững",Economic {{c1::stability}} is essential for the long-term growth of any country.,"Trạng thái vững vàng, ổn định, không dễ bị thay đổi, sụp đổ hoặc biến động tiêu cực.","The state of being stable, steady, or not likely to change.","financial stability, political stability, maintain stability","Syn: steadiness, firmness; Ant: instability, fluctuation",rock-solid stability,Stab (gốc từ Latin: đứng vững) + -ility (hậu tố tạo danh từ chỉ trạng thái),"Formal / Academic - Thường dùng trong các ngữ cảnh kinh tế, chính trị, xã hội hoặc tâm lý."
strengthen,"<img src=""strengthen.jpg"">",/ˈstreŋk.θən/,[sound:strengthen.mp3],"củng cố, tăng cường",Regular physical exercise helps to {{c1::strengthen}} your muscles and immune system.,"Làm cho ai đó hoặc cái gì đó trở nên mạnh mẽ, vững chắc hoặc hiệu quả hơn.",To make or become stronger.,"strengthen ties, strengthen security, strengthen muscle","Syn: reinforce, fortify; Ant: weaken, undermine",strengthen one's resolve,Strength (danh từ: sức mạnh) + -en (hậu tố tạo động từ: làm cho trở nên),Neutral / Academic - Phổ biến cả trong giao tiếp hàng ngày lẫn văn viết trang trọng.
suppress,"<img src=""suppress.jpg"">",/səˈpres/,[sound:suppress.mp3],"đàn áp, kìm hãm, dập tắt",She tried hard to {{c1::suppress}} her laughter during the solemn ceremony.,"Dùng sức mạnh để kìm nén cảm xúc, dập tắt bạo loạn hoặc ngăn chặn thông tin phát tán.",To forcibly put an end to something or restrain an emotion/action.,"suppress emotions, suppress information, suppress a rebellion","Syn: repress, stifle, crush; Ant: encourage, release",suppress a yawn/smile,"Sub- (tiền tố: bên dưới) + press (gốc từ: đè, nhấn)","Formal / Academic - Thường xuất hiện trong chính trị, báo chí, tâm lý học và y học."
tension,"<img src=""tension.jpg"">",/ˈten.ʃən/,[sound:tension.mp3],"sự căng thẳng, sự căng đứt",There was growing political {{c1::tension}} between the two neighboring countries.,"Trạng thái căng thẳng về mặt tinh thần, mối quan hệ giữa các bên hoặc áp lực lực học.","A state of strain, stress, or conflict between people or groups.","ease tension, high tension, racial tension","Syn: strain, stress, hostility; Ant: relaxation, harmony",surface tension,Tens (gốc từ Latin: kéo căng) + -ion (hậu tố tạo danh từ),"Neutral / Academic - Được dùng trong cả đời sống hàng ngày, chính trị và kỹ thuật."
unchecked,"<img src=""unchecked.jpg"">",/ʌnˈtʃekt/,[sound:unchecked.mp3],"không bị kiểm soát, không bị kìm hãm","If left {{c1::unchecked}}, corruption can severely damage the country's economy.","Không bị chặn lại hay kiểm soát, có nguy cơ tự do phát triển theo hướng tiêu cực.","Not controlled, restrained, or examined.","go unchecked, leave unchecked, unchecked growth","Syn: unrestrained, unbridled; Ant: controlled, restricted",run unchecked,Un- (tiền tố phủ định: không) + checked (tính từ/quá khứ phân từ: đã kiểm soát),"Formal / Academic - Rất phổ biến trong văn phong báo chí, phân tích rủi ro, cảnh báo."
uncontrolled,"<img src=""uncontrolled.jpg"">",/ˌʌn.kənˈtrəʊld/,[sound:uncontrolled.mp3],"mất kiểm soát, không ai điều khiển",The heavy rain led to {{c1::uncontrolled}} flooding in many areas of the city.,"Nằm ngoài khả năng quản lý, điều khiển hoặc kìm hãm của con người/hệ thống.","Not limited, directed, or managed by rules or human power.","uncontrolled anger, uncontrolled growth, uncontrolled fires","Syn: wild, unmanageable; Ant: controlled, regulated",out of control,Un- (không) + control (điều khiển) + -ed (hậu tố tính từ),"Neutral / Academic - Dùng nhiều trong mô tả thảm họa, y tế hoặc diễn biến cảm xúc."
vitality,"<img src=""vitality.jpg"">",/vaɪˈtæl.ə.ti/,[sound:vitality.mp3],"sức sống, sinh khí","Despite her advanced age, she maintains remarkable energy and {{c1::vitality}}.","Năng lượng dồi dào, khả năng sống, tồn tại và phát triển mạnh mẽ.","The state of being strong, active, and full of life.","youthful vitality, restore vitality, economic vitality","Syn: vigor, energy, liveliness; Ant: lethargy, weakness",full of vitality,Vita (gốc từ Latin: sự sống) + -al (tính từ) + -ity (danh từ),"Formal / Literary - Thường dùng trong văn học, bài viết sức khỏe, phát triển kinh tế."
weakness,"<img src=""weakness.jpg"">",/ˈwiːk.nəs/,[sound:weakness.mp3],"điểm yếu, sự yếu ớt",Identifying your own {{c1::weakness}} is the first step toward personal growth.,"Trạng thái thiếu sức mạnh thể chất hoặc nhược điểm trong tính cách, kỹ năng, hệ thống.","The state of lacking strength, or a character flaw/shortcoming.","human weakness, reveal a weakness, sign of weakness","Syn: flaw, shortcoming, frailty; Ant: strength, asset",have a weakness for something,Weak (tính từ: yếu) + -ness (hậu tố tạo danh từ chỉ trạng thái),"Neutral - Sử dụng tự nhiên trong cả quản trị, tâm lý và đời sống thường ngày."
willingness,"<img src=""willingness.jpg"">",/ˈwɪl.ɪŋ.nəs/,[sound:willingness.mp3],"sự sẵn lòng, sự thiện chí",His {{c1::willingness}} to learn new skills impressed the hiring manager.,"Sự tự nguyện, sẵn sàng thực hiện nhiệm vụ nào đó mà không bị gượng ép.",The quality or state of being prepared and ready to do something.,"willingness to learn, express willingness, show willingness","Syn: readiness, inclination, eagerness; Ant: reluctance, unwillingness",show one's willingness,Will (ý chí) + -ing (tính từ) + -ness (danh từ),"Neutral / Formal - Phổ biến trong đánh giá công việc, hợp tác thương mại, ứng xử."
wisdom,"<img src=""wisdom.jpg"">",/ˈwɪz.dəm/,[sound:wisdom.mp3],"sự khôn ngoan, trí tuệ",Grandmother shared her accumulated {{c1::wisdom}} with us during dinner.,"Khả năng đưa ra quyết định đúng đắn dựa trên trải nghiệm, tri thức và sự thấu hiểu.","The quality of having experience, knowledge, and good judgment.","words of wisdom, conventional wisdom, gain wisdom","Syn: sagacity, insight, intelligence; Ant: foolishness, ignorance",pearls of wisdom,Wise (tính từ: khôn ngoan) + -dom (hậu tố danh từ chỉ trạng thái/lĩnh vực),"Neutral / Literary - Dùng nhiều trong triết lý cuộc sống, bài phát biểu, văn học."
wisely,"<img src=""wisely.jpg"">",/ˈwaɪz.li/,[sound:wisely.mp3],một cách khôn ngoan,You need to budget carefully and spend your money {{c1::wisely}}.,"Hành động, đưa ra lựa chọn một cách sáng suốt và có tính toán cẩn thận.",In a way that shows good judgment or practical sense.,"spend wisely, choose wisely, act wisely","Syn: prudently, sensibly; Ant: foolishly, unwisely",invest wisely,Wise (tính từ) + -ly (hậu tố trạng từ),"Neutral - Thường dùng trong lời khuyên, hướng dẫn quản lý tài chính hoặc thời gian."
combine with something,"<img src=""combine.jpg"">",/kəmˈbaɪn wɪð ˈsʌm.θɪŋ/,[sound:combine.mp3],kết hợp với cái gì,Theoretical knowledge should be {{c1::combined with}} practical experience for best results.,Trộn lẫn hoặc gắn kết hai/nhiều yếu tố lại với nhau để tạo ra một tổng thể hiệu quả.,To join or mix together with something else.,"combine with effort, combine with technology, combine with experience","Syn: merge with, integrate with; Ant: separate from, disconnect from",combine forces,Com- (tiền tố: cùng nhau) + bini (hai) + with (giới từ: với),"Neutral / Academic - Dùng rộng rãi trong nghiên cứu, giáo dục và công việc."
deal with,,/diːl wɪð/,[sound:dealwith.mp3],"giải quyết, xử lý, đối phó",The customer service team has to {{c1::deal with}} hundreds of complaints every day.,"Thực hiện các hành động cần thiết để quản lý, giải quyết một vấn đề, đối tượng hoặc tình huống.",To take action to solve a problem or handle a situation/person.,"deal with stress, deal with complaints, deal with customers","Syn: handle, tackle, cope with; Ant: ignore, neglect",deal a blow to,Deal (động từ: xử lý/giao dịch) + with (giới từ: với),Neutral / Informal - Cụm động từ vô cùng thông dụng trong giao tiếp hàng ngày và công sở.
help people do something,"<img src=""help.jpg"">",/help ˈpiː.pəl duː ˈsʌm.θɪŋ/,[sound:help.mp3],giúp người khác làm việc gì,The main goal of this charity is to {{c1::help people do}} business on their own.,Hỗ trợ hoặc tạo điều kiện cho người khác thực hiện hoặc hoàn thành công việc gì.,To assist individuals in completing a specific action or task.,"help people do research, help people do jobs, help people do workouts","Syn: assist people to do, aid people in doing; Ant: hinder people from doing",give someone a helping hand,Help (động từ) + people (tân ngữ chỉ người) + do (động từ nguyên mẫu),"Neutral - Cấu trúc ngữ pháp cơ bản, dùng trong mọi tình huống giao tiếp."
lead to something,"<img src=""lead.jpg"">",/liːd tuː ˈsʌm.θɪŋ/,[sound:lead.mp3],dẫn đến cái gì,A lack of communication can {{c1::lead to}} severe misunderstandings in a relationship.,Gây ra hoặc tạo thành chuỗi nguyên nhân - kết quả dẫn đến một tình huống/kết quả cụ thể.,To result in or cause a particular outcome or situation.,"lead to success, lead to failure, lead to consequences","Syn: result in, cause, bring about; Ant: stem from, result from",all roads lead to Rome,Lead (động từ: dẫn dắt) + to (giới từ hướng tới),"Neutral / Academic - Rất phổ biến trong bài luận, phân tích nguyên nhân - kết quả."
learn to do something,"<img src=""learn.jpg"">",/lɜːn tuː duː ˈsʌm.θɪŋ/,[sound:learn.mp3],học cách làm việc gì,Children should {{c1::learn to}} express their opinions respectfully from a young age.,Tích lũy kiến thức hoặc kỹ năng để có thể thực hiện thành thục một hành động.,To acquire the skill or knowledge needed to perform an action.,"learn to drive, learn to speak, learn to adapt",Syn: master doing something; Ant: forget how to do,learn to walk before you run,Learn (động từ: học) + to-infinitive (động từ nguyên mẫu có 'to'),"Neutral - Cấu trúc phổ biến trong đời sống, giáo dục và phát triển bản thân."
mean doing something,"<img src=""mean.jpg"">",/miːn ˈduː.ɪŋ ˈsʌm.θɪŋ/,[sound:mean.mp3],có nghĩa là/kéo theo việc phải làm gì,Accepting this promotion will {{c1::mean moving}} to a foreign country.,Diễn tả việc một hành động hay quyết định sẽ dẫn đến/bao gồm kết quả tất yếu là phải làm gì.,To involve or result in having to perform a specific action.,"mean working late, mean spending more money, mean taking risks","Syn: involve doing, entail doing; Ant: prevent doing",mean business,Mean (động từ: hàm chứa) + V-ing (danh động từ),Neutral / Academic - Thường dùng để chỉ hệ quả logic của một quyết định.
prevent somebody from doing something,"<img src=""prevent.jpg"">",/prɪˈvent ˈsʌm.bə.di frəm ˈduː.ɪŋ ˈsʌm.θɪŋ/,[sound:prevent.mp3],ngăn cản ai làm việc gì,Heavy snow {{c1::prevented us from leaving}} the mountain resort on time.,"Ngăn chặn, giữ không cho đối tượng nào đó tiến hành một hành động.",To stop someone from accomplishing or engaging in an action.,"prevent people from entering, prevent students from cheating, prevent drivers from speeding","Syn: stop someone from doing, hinder someone from doing; Ant: allow someone to do, encourage someone to do",prevention is better than cure,Prevent (ngăn chặn) + tân ngữ chỉ người + from (giới từ) + V-ing,"Neutral / Formal - Thường xuất hiện trong quy định, cảnh báo và giao tiếp công việc."
slow down,"<img src=""slowdown.jpg"">",/sləʊ daʊn/,[sound:slowdown.mp3],"giảm tốc độ, làm chậm lại",You are working too hard; you need to {{c1::slow down}} and take a break.,"Giảm tốc độ di chuyển, hoạt động hoặc giảm bớt nhịp sống, tiến độ làm việc.","To reduce speed, pace, or level of activity.","slow down traffic, slow down aging, slow down the economy","Syn: decelerate, delay; Ant: speed up, accelerate",slow down to a crawl,Slow (chậm) + down (tiểu từ chỉ sự suy giảm),Neutral / Informal - Cụm động từ vô cùng quen thuộc trong giao tiếp hàng ngày.
try to do something,"<img src=""try.jpg"">",/traɪ tuː duː ˈsʌm.θɪŋ/,[sound:try.mp3],cố gắng làm việc gì,I will {{c1::try to finish}} reading this long report before tomorrow morning.,"Nỗ lực, bỏ sức lực ra để thực hiện một mục tiêu/hành động nào đó.",To make an effort or attempt to accomplish a task.,"try to help, try to understand, try to improve","Syn: attempt to do, endeavor to do; Ant: give up doing",try your best,Try (động từ: nỗ lực) + to-infinitive (chỉ mục đích nỗ lực),"Neutral - Cấu trúc cơ bản, phổ biến trong lời nói và bài viết hàng ngày."
